Device,video_name,frame_number,total_patches,sector1_correct,sector2_correct,sector3_correct,sector4_correct,blur,std,correct,prnu_std
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_move_0001_,0_,3,3,3,3,3,4.840428455642948,53.66908515426797,,0.43294588
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_move_0001_,10_,3,3,3,3,3,4.840428455642948,53.66908515426797,,0.43294588
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_move_0001_,11_,3,3,3,3,3,2.912165824878367,52.57998991155721,,0.32519016
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_move_0001_,12_,3,3,3,3,3,3.8380764718661373,52.88012151910929,,0.39691594
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_move_0001_,13_,3,3,3,3,3,1.1311563614813254,51.94408224938574,,0.2216131
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_move_0001_,14_,3,3,3,3,3,1.2412318042697634,52.15765844271841,,0.24304634
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_move_0001_,1_,3,3,3,3,3,1.2412318042697634,52.15765844271841,,0.24304634
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_move_0001_,2_,3,3,3,3,3,3.8380764718661373,52.88012151910929,,0.39691594
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_move_0001_,3_,3,3,3,3,3,1.2412318042697634,52.15765844271841,,0.24304634
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_move_0001_,4_,3,3,3,3,3,1.2412318042697634,52.15765844271841,,0.24304634
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_move_0001_,5_,3,3,3,3,3,16.84760081061428,52.35064530481397,,0.4643188
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_move_0001_,6_,3,3,3,3,3,1.692676387177413,52.071263899757575,,0.25068703
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_move_0001_,7_,3,3,3,3,3,4.225592062448305,52.522013764013735,,0.39905986
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_move_0001_,8_,3,3,3,3,3,3.716715199188466,52.26243692105089,,0.3682882
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_move_0001_,9_,3,3,3,3,3,2.7154503934793923,52.49424399612947,,0.33282128
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_panrot_0001_,0_,3,3,3,3,3,0.9046603813215145,53.27283125321054,,0.25527745
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_panrot_0001_,10_,3,3,3,3,3,0.8679785766577417,51.56784662843672,,0.21811904
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_panrot_0001_,11_,3,3,3,3,3,0.8015330188679245,51.98441769371029,,0.15008537
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_panrot_0001_,12_,3,3,3,3,3,0.9671629245677027,51.64369328868509,,0.27433988
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_panrot_0001_,13_,3,3,3,3,3,0.9258549528301887,51.30176545412634,,0.16157946
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_panrot_0001_,14_,3,3,3,3,3,0.9082940251572327,51.82296770393462,,0.15776734
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_panrot_0001_,1_,3,0,0,1,3,2.2722434272372274,55.43271192309338,,0.3203953
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_panrot_0001_,2_,3,0,3,1,3,26.135954663376378,70.80344660122836,,0.76334745
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_panrot_0001_,3_,3,3,3,3,3,2.2722434272372274,55.43271192309338,,0.3203953
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_panrot_0001_,4_,3,3,3,3,3,4.975723581295603,60.269384050154386,,0.4769005
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_panrot_0001_,5_,3,3,3,3,3,0.9045204402515723,51.2372570142397,,0.15729415
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_panrot_0001_,6_,3,2,2,2,3,1.4865369496855345,62.46532830091891,,0.22503734
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_panrot_0001_,7_,3,3,3,3,3,1.0717026673896344,52.644597386695516,,0.2154935
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_panrot_0001_,8_,3,3,3,3,3,0.8108244889937107,50.85467934123098,,0.16575548
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatWA_panrot_0001_,9_,3,3,3,3,3,2.2722434272372274,55.43271192309338,,0.3203953
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,0_,15,15,15,15,15,0.6733024467860139,52.097887284919615,,0.26276454
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,10_,15,15,12,13,15,0.6733024467860139,52.097887284919615,,0.26276454
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,11_,15,15,15,15,15,1.3220910308879756,52.121033268280094,,0.26330286
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,12_,15,15,15,15,15,3.7195558351337343,52.87316461576954,,0.36804348
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,13_,15,15,15,13,15,3.8283390773685397,52.54042886678269,,0.35177553
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,14_,15,15,15,13,14,2.449037898132064,52.30009017477683,,0.41657403
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,1_,15,15,15,15,15,0.6733024467860139,52.097887284919615,,0.26276454
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,2_,15,15,15,13,15,3.7195558351337343,52.87316461576954,,0.36804348
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,3_,15,15,15,14,15,0.6733024467860139,52.097887284919615,,0.26276454
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,4_,15,15,15,13,15,2.449037898132064,52.30009017477683,,0.41657403
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,5_,15,15,14,12,15,0.43848379623675926,53.02747960514031,,0.17763013
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,6_,15,15,15,13,15,4.796988811615833,52.753188885365944,,0.40864843
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,7_,15,15,15,13,15,3.6965899882024282,52.45289694652674,,0.34956196
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,8_,15,15,15,14,15,1.123574458388108,52.630149893451375,,0.25192383
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,9_,15,15,15,13,15,5.271681612761255,52.93856988042172,,0.41833127
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,0_,15,14,13,7,15,14.791558625519723,70.9207336883447,,0.66385555
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,10_,15,3,7,0,9,14.791558625519723,70.9207336883447,,0.66385555
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,11_,15,15,15,15,15,0.46068769290123457,52.9202478791289,,0.17684104
