Device,video_name,frame_number,video_type,scene,std,prnu_std,correct,true_l,predicted_l
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_outdoor_panrot_0002_,11_,_outdoor_,panrot,58.33374985789918,2.440725,1,0,0
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_outdoorWA_panrot_0002_,9_,_outdoorWA_,panrot,27.656756705264304,2.6503236,1,0,0
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_outdoorYT_panrot_0002_,5_,_outdoorYT_,panrot,28.41810956246416,2.0123577,1,0,0
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_outdoor_still_0002_,9_,_outdoor_,still,51.20719968757792,1.945723,0,0,8
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_outdoor_panrot_0002_,5_,_outdoor_,panrot,53.42396970004391,2.3398712,1,0,0
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_panrot_0001_,3_,_indoorYT_,panrot,4.755034294160742,0.3104779,1,0,0
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,7_,_indoorYT_,move,13.825780770985716,0.51470625,0,0,4
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,12_,_flat_,panrot,38.665249974767725,0.13199686,1,0,0
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_outdoor_panrot_0002_,8_,_outdoor_,panrot,34.710012165478695,2.5656161,1,0,0
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_outdoor_panrot_0002_,10_,_outdoor_,panrot,51.771655877448985,2.523459,1,0,0
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_outdoorYT_still_0002_,6_,_outdoorYT_,still,19.04099761029548,1.7897823,0,0,4
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,4_,_flatYT_,panrot,26.71645425887348,0.25260222,1,0,0
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,8_,_flat_,panrot,27.39275364360007,0.5170746,1,0,0
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,14_,_indoorYT_,move,10.474591469214449,0.21339346,1,0,0
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_outdoor_still_0002_,8_,_outdoor_,still,18.132484233086178,1.9605849,0,0,1
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_outdoor_panrot_0002_,9_,_outdoor_,panrot,12.330788075720264,2.2303798,1,0,0
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,2_,_flatYT_,panrot,40.62472123806427,0.22336318,1,0,0
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_outdoor_still_0002_,6_,_outdoor_,still,49.25577025084416,2.4333546,0,0,8
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_move_0001_,4_,_indoor_,move,20.71883358720961,0.40383,0,0,4
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_move_0001_,2_,_flatYT_,move,41.54316001922886,0.16237694,1,0,0
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_move_0001_,8_,_indoor_,move,37.27718856613376,0.88451004,0,0,4
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,6_,_indoorYT_,move,10.603187550494747,0.16283904,0,0,3
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,6_,_flatYT_,panrot,48.01148286336449,0.62013465,1,0,0
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_move_0001_,12_,_indoor_,move,17.353324955482098,0.39922193,0,0,4
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_move_0001_,7_,_indoor_,move,8.019099853262661,0.14704557,0,0,2
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,7_,_flatYT_,panrot,44.89381100715804,0.21013466,1,0,0
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,12_,_flatYT_,panrot,43.62075980672585,0.16948456,1,0,0
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,14_,_flat_,panrot,23.499619785861377,0.1851131,1,0,0
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_panrot_0001_,9_,_indoor_,panrot,45.3388882325561,1.1186665,0,0,3
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,5_,_indoorYT_,move,23.73077235399613,0.56280756,1,0,0
