Video Name,Total Frames,Correct Frames
01AppleiPhone4sVflatWAstill0001P-number,30,30
01AppleiPhone4sVflatYTstill0001P-number,280,184
01AppleiPhone4sVflatstill0001P-number,280,219
01AppleiPhone4sVindoorWAmove0001P-number,30,15
01AppleiPhone4sVindoorYTmove0001P-number,280,80
01AppleiPhone4sVindoormove0001P-number,280,71
01AppleiPhone4sVoutdoorWAstill0001P-number,30,0
01AppleiPhone4sVoutdoorYTstill0001P-number,280,0
01AppleiPhone4sVoutdoorstill0001P-number,280,0
02HuaweiP9VflatWAmove0002P-number,30,29
02HuaweiP9VflatWAstill0001P-number,30,27
02HuaweiP9VflatYTmove0002P-number,280,206
02HuaweiP9VflatYTstill0001P-number,280,270
02HuaweiP9Vflatmove0002P-number,279,196
02HuaweiP9Vflatstill0001P-number,280,278
02HuaweiP9VindoorWAmove0001P-number,30,3
02HuaweiP9VindoorWAmove0002P-number,30,5
02HuaweiP9VindoorYTmove0001P-number,280,9
02HuaweiP9VindoorYTmove0002P-number,280,28
02HuaweiP9Vindoormove0001P-number,279,29
02HuaweiP9Vindoormove0002P-number,280,43
02HuaweiP9VoutdoorWApanrot0001P-number,30,9
02HuaweiP9VoutdoorWAstill0002P-number,30,13
02HuaweiP9VoutdoorYTpanrot0001P-number,280,160
02HuaweiP9VoutdoorYTstill0002P-number,280,195
02HuaweiP9Voutdoorpanrot0001P-number,280,157
02HuaweiP9Voutdoorstill0002P-number,280,211
03AppleiPhone6VflatWApanrot0001P-number,30,30
03AppleiPhone6VflatYTpanrot0001P-number,280,279
03AppleiPhone6Vflatpanrot0001P-number,280,275
03AppleiPhone6VindoorWAmove0002P-number,30,7
03AppleiPhone6VindoorWAstill0002P-number,30,18
03AppleiPhone6VindoorYTmove0002P-number,280,40
03AppleiPhone6VindoorYTstill0002P-number,280,94
03AppleiPhone6Vindoormove0002P-number,280,53
03AppleiPhone6Vindoorstill0002P-number,280,88
03AppleiPhone6VoutdoorWApanrot0001P-number,30,8
03AppleiPhone6VoutdoorWAstill0001P-number,30,30
03AppleiPhone6VoutdoorYTpanrot0001P-number,280,64
03AppleiPhone6VoutdoorYTstill0001P-number,280,219
03AppleiPhone6Voutdoorpanrot0001P-number,280,116
03AppleiPhone6Voutdoorstill0001P-number,280,222
04SamsungGalaxyS3VflatWApanrot0001P-number,30,25
04SamsungGalaxyS3VflatWAstill0002P-number,30,26
04SamsungGalaxyS3VflatYTpanrot0001P-number,279,255
04SamsungGalaxyS3VflatYTstill0002P-number,280,254
04SamsungGalaxyS3Vflatpanrot0001P-number,279,233
04SamsungGalaxyS3Vflatstill0002P-number,280,258
04SamsungGalaxyS3VindoorWAmove0002P-number,30,1
04SamsungGalaxyS3VindoorWAstill0001P-number,30,0
04SamsungGalaxyS3VindoorYTmove0002P-number,280,55
04SamsungGalaxyS3VindoorYTstill0001P-number,280,7
04SamsungGalaxyS3Vindoormove0002P-number,280,44
04SamsungGalaxyS3Vindoorstill0001P-number,280,8
04SamsungGalaxyS3VoutdoorWAmove0001P-number,30,3
04SamsungGalaxyS3VoutdoorWApanrot0002P-number,30,11
04SamsungGalaxyS3VoutdoorYTmove0001P-number,280,14
04SamsungGalaxyS3VoutdoorYTpanrot0002P-number,280,104
04SamsungGalaxyS3Voutdoormove0001P-number,280,30
04SamsungGalaxyS3Voutdoorpanrot0002P-number,280,114
05AppleiPhone5cVflatWApanrot0001P-number,30,22
05AppleiPhone5cVflatWAstill0001P-number,30,30
05AppleiPhone5cVflatYTpanrot0001P-number,280,261
05AppleiPhone5cVflatYTstill0001P-number,280,280
05AppleiPhone5cVflatpanrot0001P-number,280,279
05AppleiPhone5cVflatstill0001P-number,280,280
05AppleiPhone5cVindoorWAstill0001P-number,30,10
05AppleiPhone5cVindoorWAstill0002P-number,30,11
05AppleiPhone5cVindoorYTstill0001P-number,280,38
05AppleiPhone5cVindoorYTstill0002P-number,280,31
05AppleiPhone5cVindoorstill0001P-number,280,39
05AppleiPhone5cVindoorstill0002P-number,279,40
05AppleiPhone5cVoutdoorWAmove0001P-number,30,4
05AppleiPhone5cVoutdoorWAstill0002P-number,30,7
05AppleiPhone5cVoutdoorYTmove0001P-number,280,142
05AppleiPhone5cVoutdoorYTstill0002P-number,280,83
05AppleiPhone5cVoutdoormove0001P-number,280,108
05AppleiPhone5cVoutdoorstill0002P-number,280,90
06HuaweiP9LiteVflatWApanrot0002P-number,30,27
06HuaweiP9LiteVflatWAstill0002P-number,30,30
06HuaweiP9LiteVflatYTpanrot0002P-number,280,261
06HuaweiP9LiteVflatYTstill0002P-number,280,199
06HuaweiP9LiteVflatpanrot0002P-number,280,266
06HuaweiP9LiteVflatstill0002P-number,280,180
06HuaweiP9LiteVindoorWAstill0001P-number,30,9
06HuaweiP9LiteVindoorWAstill0002P-number,30,12
06HuaweiP9LiteVindoorYTstill0001P-number,280,116
06HuaweiP9LiteVindoorYTstill0002P-number,280,108
06HuaweiP9LiteVindoorstill0001P-number,280,102
06HuaweiP9LiteVindoorstill0002P-number,280,91
06HuaweiP9LiteVoutdoorWApanrot0001P-number,30,10
06HuaweiP9LiteVoutdoorWAstill0001P-number,30,0
06HuaweiP9LiteVoutdoorYTpanrot0001P-number,280,76
06HuaweiP9LiteVoutdoorYTstill0001P-number,280,124
06HuaweiP9LiteVoutdoorpanrot0001P-number,280,101
06HuaweiP9LiteVoutdoorstill0001P-number,280,131
07AppleiPhone6PlusVflatWAmove0003P-number,30,27
07AppleiPhone6PlusVflatWAstill0001P-number,30,26
07AppleiPhone6PlusVflatYTmove0003P-number,280,260
07AppleiPhone6PlusVflatYTstill0001P-number,280,268
07AppleiPhone6PlusVflatmove0003P-number,280,274
07AppleiPhone6PlusVflatstill0001P-number,280,270
07AppleiPhone6PlusVindoorWAmove0001P-number,30,0
07AppleiPhone6PlusVindoorWAmove0002P-number,30,12
07AppleiPhone6PlusVindoorYTmove0001P-number,280,27
07AppleiPhone6PlusVindoorYTmove0002P-number,279,52
07AppleiPhone6PlusVindoormove0001P-number,280,30
07AppleiPhone6PlusVindoormove0002P-number,280,76
07AppleiPhone6PlusVoutdoorWAmove0001P-number,30,3
07AppleiPhone6PlusVoutdoorWAstill0001P-number,30,28
07AppleiPhone6PlusVoutdoorYTmove0001P-number,280,95
07AppleiPhone6PlusVoutdoorYTstill0001P-number,280,220
07AppleiPhone6PlusVoutdoormove0001P-number,280,71
07AppleiPhone6PlusVoutdoorstill0001P-number,280,242
08SonyXperiaZ1CompactVflatWAmove0003P-number,30,25
08SonyXperiaZ1CompactVflatWAstill0002P-number,30,23
08SonyXperiaZ1CompactVflatYTmove0003P-number,280,214
08SonyXperiaZ1CompactVflatYTstill0002P-number,278,186
08SonyXperiaZ1CompactVflatmove0003P-number,280,190
08SonyXperiaZ1CompactVflatstill0002P-number,280,215
08SonyXperiaZ1CompactVindoorWApanrot0001P-number,29,8
08SonyXperiaZ1CompactVindoorWApanrot0002P-number,30,15
08SonyXperiaZ1CompactVindoorYTpanrot0001P-number,280,31
08SonyXperiaZ1CompactVindoorYTpanrot0002P-number,280,74
08SonyXperiaZ1CompactVindoorpanrot0001P-number,280,64
08SonyXperiaZ1CompactVindoorpanrot0002P-number,280,110
08SonyXperiaZ1CompactVoutdoorWAmove0001P-number,30,14
08SonyXperiaZ1CompactVoutdoorWApanrot0001P-number,30,9
08SonyXperiaZ1CompactVoutdoorYTmove0001P-number,280,101
08SonyXperiaZ1CompactVoutdoorYTpanrot0001P-number,280,135
08SonyXperiaZ1CompactVoutdoormove0001P-number,280,96
08SonyXperiaZ1CompactVoutdoorpanrot0001P-number,280,123
09SamsungGalaxyS5VflatWAmove0003P-number,30,30
09SamsungGalaxyS5VflatWAstill0002P-number,30,30
09SamsungGalaxyS5VflatYTmove0003P-number,280,280
09SamsungGalaxyS5VflatYTstill0002P-number,280,280
09SamsungGalaxyS5Vflatmove0003P-number,280,280
09SamsungGalaxyS5Vflatstill0002P-number,280,280
09SamsungGalaxyS5VindoorWApanrot0001P-number,30,10
09SamsungGalaxyS5VindoorWApanrot0002P-number,30,15
09SamsungGalaxyS5VindoorYTpanrot0001P-number,280,82
09SamsungGalaxyS5VindoorYTpanrot0002P-number,280,156
09SamsungGalaxyS5Vindoorpanrot0001P-number,280,101
09SamsungGalaxyS5Vindoorpanrot0002P-number,280,101
09SamsungGalaxyS5VoutdoorWApanrot0002P-number,30,22
09SamsungGalaxyS5VoutdoorWAstill0002P-number,30,25
09SamsungGalaxyS5VoutdoorYTpanrot0002P-number,280,176
09SamsungGalaxyS5VoutdoorYTstill0002P-number,280,192
09SamsungGalaxyS5Voutdoorpanrot0002P-number,280,234
09SamsungGalaxyS5Voutdoorstill0002P-number,280,195
10AppleiPhone5VflatWAmove0003P-number,30,21
10AppleiPhone5VflatWAstill0001P-number,30,21
10AppleiPhone5VflatYTmove0003P-number,280,273
10AppleiPhone5VflatYTstill0001P-number,280,265
10AppleiPhone5Vflatmove0003P-number,280,279
10AppleiPhone5Vflatstill0001P-number,280,272
10AppleiPhone5VindoorWAmove0002P-number,30,4
10AppleiPhone5VindoorWAstill0002P-number,30,19
10AppleiPhone5VindoorYTmove0002P-number,280,119
10AppleiPhone5VindoorYTstill0002P-number,280,179
10AppleiPhone5Vindoormove0002P-number,280,145
10AppleiPhone5Vindoorstill0002P-number,280,191
10AppleiPhone5VoutdoorWAmove0002P-number,30,5
