Video Name,Total Frames,Correct Frames
01SamsungGalaxyS3VflatWAmove0001P-number,45,45
01SamsungGalaxyS3VflatWApanrot0001P-number,45,45
01SamsungGalaxyS3VflatYTmove0001P-number,420,420
01SamsungGalaxyS3VflatYTpanrot0001P-number,420,418
01SamsungGalaxyS3Vflatmove0001P-number,420,419
01SamsungGalaxyS3Vflatpanrot0001P-number,420,420
01SamsungGalaxyS3VindoorWAmove0001P-number,45,41
01SamsungGalaxyS3VindoorWApanrot0001P-number,45,40
01SamsungGalaxyS3VindoorYTmove0001P-number,420,338
01SamsungGalaxyS3VindoorYTpanrot0001P-number,420,363
01SamsungGalaxyS3Vindoormove0001P-number,420,362
01SamsungGalaxyS3Vindoorpanrot0001P-number,420,366
01SamsungGalaxyS3VoutdoorWApanrot0002P-number,45,29
01SamsungGalaxyS3VoutdoorWAstill0002P-number,45,45
01SamsungGalaxyS3VoutdoorYTpanrot0002P-number,392,260
01SamsungGalaxyS3VoutdoorYTstill0002P-number,392,392
01SamsungGalaxyS3Voutdoorpanrot0002P-number,420,313
01SamsungGalaxyS3Voutdoorstill0002P-number,420,419
02HuaweiP9VflatWAmove0001P-number,45,45
02HuaweiP9VflatWAstill0001P-number,45,45
02HuaweiP9VflatYTmove0001P-number,420,419
02HuaweiP9VflatYTstill0001P-number,420,420
02HuaweiP9Vflatmove0001P-number,419,413
02HuaweiP9Vflatstill0001P-number,419,419
02HuaweiP9VindoorWApanrot0002P-number,45,42
02HuaweiP9VindoorWAstill0002P-number,45,45
02HuaweiP9VindoorYTpanrot0002P-number,392,366
02HuaweiP9VindoorYTstill0002P-number,392,392
02HuaweiP9Vindoorpanrot0002P-number,420,388
02HuaweiP9Vindoorstill0002P-number,420,420
02HuaweiP9VoutdoorWAmove0001P-number,45,42
02HuaweiP9VoutdoorWApanrot0002P-number,45,42
02HuaweiP9VoutdoorYTmove0001P-number,420,405
02HuaweiP9VoutdoorYTpanrot0002P-number,392,385
02HuaweiP9Voutdoormove0001P-number,420,388
02HuaweiP9Voutdoorpanrot0002P-number,420,418
03AppleiPhone5cVflatWAmove0002P-number,45,44
03AppleiPhone5cVflatWApanrot0001P-number,45,38
03AppleiPhone5cVflatYTmove0002P-number,420,147
03AppleiPhone5cVflatYTpanrot0001P-number,420,354
03AppleiPhone5cVflatmove0002P-number,420,198
03AppleiPhone5cVflatpanrot0001P-number,420,355
03AppleiPhone5cVindoorWAmove0002P-number,45,30
