Device Type,Total Videos,Correct Videos,Percentage
01AppleiPhone4s,9,6,0.6666666666666666
02HuaweiP9,18,17,0.9444444444444444
03AppleiPhone6,14,8,0.5714285714285714
04SamsungGalaxyS3,18,13,0.7222222222222222
05AppleiPhone5c,18,9,0.5
06HuaweiP9Lite,18,8,0.4444444444444444
07AppleiPhone6Plus,18,15,0.8333333333333334
08SonyXperiaZ1Compact,18,18,1.0
09SamsungGalaxyS5,18,16,0.8888888888888888
10AppleiPhone5,18,10,0.5555555555555556
11XiaomiRedmiNote,18,15,0.8333333333333334
12OnePlusA3000,18,15,0.8333333333333334
13HuaweiP,18,17,0.9444444444444444
14SamsungGalaxyS4Mini,18,17,0.9444444444444444
15OnePlusA3003,17,8,0.47058823529411764
