File,True Label,Predicted Label,Video Name
/data/home/mveksler/experiment_23/sector_1_patch/test/D11_Xiaomi_RedmiNote3/frame_number_3_vid_name_D11_Xiaomi_RedmiNote3_V_outdoor_move_0001_P-number_001.jpg,10,12,11XiaomiRedmiNote3Voutdoormove0001P-number
/data/home/mveksler/experiment_23/sector_1_patch/test/D15_OnePlus_A3003/frame_number_22_vid_name_D15_OnePlus_A3003_V_flatWA_move_0003_P-number_001.jpg,14,5,15OnePlusA3003VflatWAmove0003P-number
/data/home/mveksler/experiment_23/sector_1_patch/test/D08_Sony_XperiaZ1Compact/frame_number_20_vid_name_D08_Sony_XperiaZ1Compact_V_indoorYT_move_0001_P-number_001.jpg,7,7,08SonyXperiaZ1CompactVindoorYTmove0001P-number
/data/home/mveksler/experiment_23/sector_1_patch/test/D10_Apple_iPhone5/frame_number_7_vid_name_D10_Apple_iPhone5_V_flat_move_0002_P-number_001.jpg,9,9,10AppleiPhone5Vflatmove0002P-number
/data/home/mveksler/experiment_23/sector_1_patch/test/D10_Apple_iPhone5/frame_number_8_vid_name_D10_Apple_iPhone5_V_outdoorYT_panrot_0001_P-number_001.jpg,9,5,10AppleiPhone5VoutdoorYTpanrot0001P-number
/data/home/mveksler/experiment_23/sector_1_patch/test/D14_Samsung_GalaxyS4Mini/frame_number_1_vid_name_D14_Samsung_GalaxyS4Mini_V_outdoorWA_panrot_0001_P-number_001.jpg,13,7,14SamsungGalaxyS4MiniVoutdoorWApanrot0001P-number
/data/home/mveksler/experiment_23/sector_1_patch/test/D13_Huawei_P8/frame_number_6_vid_name_D13_Huawei_P8_V_flatWA_move_0002_P-number_001.jpg,12,12,13HuaweiP8VflatWAmove0002P-number
/data/home/mveksler/experiment_23/sector_1_patch/test/D05_Apple_iPhone5c/frame_number_10_vid_name_D05_Apple_iPhone5c_V_outdoorYT_panrot_0002_P-number_001.jpg,4,12,05AppleiPhone5cVoutdoorYTpanrot0002P-number
/data/home/mveksler/experiment_23/sector_1_patch/test/D02_Huawei_P9/frame_number_16_vid_name_D02_Huawei_P9_V_indoor_move_0001_P-number_001.jpg,1,5,02HuaweiP9Vindoormove0001P-number
/data/home/mveksler/experiment_23/sector_1_patch/test/D05_Apple_iPhone5c/frame_number_14_vid_name_D05_Apple_iPhone5c_V_flatWA_still_0001_P-number_001.jpg,4,4,05AppleiPhone5cVflatWAstill0001P-number
/data/home/mveksler/experiment_23/sector_1_patch/test/D02_Huawei_P9/frame_number_4_vid_name_D02_Huawei_P9_V_indoor_move_0001_P-number_001.jpg,1,12,02HuaweiP9Vindoormove0001P-number
/data/home/mveksler/experiment_23/sector_1_patch/test/D04_Samsung_GalaxyS3/frame_number_25_vid_name_D04_Samsung_GalaxyS3_V_outdoor_panrot_0002_P-number_001.jpg,3,3,04SamsungGalaxyS3Voutdoorpanrot0002P-number
/data/home/mveksler/experiment_23/sector_1_patch/test/D09_Samsung_GalaxyS5/frame_number_14_vid_name_D09_Samsung_GalaxyS5_V_outdoor_move_0001_P-number_001.jpg,8,8,09SamsungGalaxyS5Voutdoormove0001P-number
/data/home/mveksler/experiment_23/sector_1_patch/test/D05_Apple_iPhone5c/frame_number_22_vid_name_D05_Apple_iPhone5c_V_indoorWA_move_0001_P-number_001.jpg,4,4,05AppleiPhone5cVindoorWAmove0001P-number
/data/home/mveksler/experiment_23/sector_1_patch/test/D07_Apple_iPhone6Plus/frame_number_13_vid_name_D07_Apple_iPhone6Plus_V_indoorYT_panrot_0001_P-number_001.jpg,6,9,07AppleiPhone6PlusVindoorYTpanrot0001P-number
/data/home/mveksler/experiment_23/sector_1_patch/test/D09_Samsung_GalaxyS5/frame_number_10_vid_name_D09_Samsung_GalaxyS5_V_outdoorYT_move_0001_P-number_001.jpg,8,8,09SamsungGalaxyS5VoutdoorYTmove0001P-number
/data/home/mveksler/experiment_23/sector_1_patch/test/D03_Apple_iPhone6/frame_number_14_vid_name_D03_Apple_iPhone6_V_indoor_move_0002_P-number_001.jpg,2,6,03AppleiPhone6Vindoormove0002P-number
/data/home/mveksler/experiment_23/sector_1_patch/test/D08_Sony_XperiaZ1Compact/frame_number_10_vid_name_D08_Sony_XperiaZ1Compact_V_outdoorYT_still_0002_P-number_001.jpg,7,7,08SonyXperiaZ1CompactVoutdoorYTstill0002P-number
