Device Type,Total Videos,Correct Videos,Percentage
01AppleiPhone4s,3,2,0.6666666666666666
02HuaweiP9,6,6,1.0
03AppleiPhone6,5,5,1.0
04SamsungGalaxyS3,6,5,0.8333333333333334
05AppleiPhone5c,6,4,0.6666666666666666
06HuaweiP9Lite,6,6,1.0
07AppleiPhone6Plus,6,5,0.8333333333333334
08SonyXperiaZ1Compact,6,6,1.0
09SamsungGalaxyS5,6,6,1.0
10AppleiPhone5,6,3,0.5
11XiaomiRedmiNote,6,4,0.6666666666666666
12OnePlusA3000,6,5,0.8333333333333334
13HuaweiP,6,4,0.6666666666666666
14SamsungGalaxyS4Mini,6,6,1.0
15OnePlusA3003,5,5,1.0
