Video Name,Total Frames,True Label,Mostly predicted label
01AppleiPhone4sVflatmove0001P-number,418,0,0
01AppleiPhone4sVindoormove0001P-number,420,0,9
01AppleiPhone4sVoutdoorpanrot0001P-number,419,0,0
02HuaweiP9Vflatmove0001P-number,420,1,1
02HuaweiP9Vflatpanrot0001P-number,420,1,1
02HuaweiP9Vindoorstill0001P-number,420,1,1
02HuaweiP9Vindoorstill0002P-number,420,1,1
02HuaweiP9Voutdoormove0001P-number,420,1,1
02HuaweiP9Voutdoorpanrot0002P-number,420,1,1
03AppleiPhone6Vflatmove0001P-number,420,2,2
03AppleiPhone6Vindoormove0002P-number,420,2,2
03AppleiPhone6Vindoorstill0001P-number,419,2,2
03AppleiPhone6Voutdoormove0002P-number,420,2,2
03AppleiPhone6Voutdoorstill0002P-number,420,2,2
04SamsungGalaxyS3Vflatmove0002P-number,420,3,3
04SamsungGalaxyS3Vflatstill0002P-number,419,3,3
04SamsungGalaxyS3Vindoorpanrot0001P-number,420,3,3
04SamsungGalaxyS3Vindoorpanrot0002P-number,419,3,10
04SamsungGalaxyS3Voutdoorpanrot0002P-number,420,3,3
04SamsungGalaxyS3Voutdoorstill0002P-number,419,3,3
05AppleiPhone5cVflatmove0003P-number,419,4,4
05AppleiPhone5cVflatpanrot0002P-number,420,4,4
05AppleiPhone5cVindoorpanrot0002P-number,420,4,6
05AppleiPhone5cVindoorstill0001P-number,419,4,4
05AppleiPhone5cVoutdoorpanrot0001P-number,420,4,13
05AppleiPhone5cVoutdoorstill0002P-number,419,4,4
06HuaweiP9LiteVflatmove0001P-number,420,5,5
06HuaweiP9LiteVflatstill0001P-number,420,5,5
06HuaweiP9LiteVindoormove0002P-number,420,5,5
06HuaweiP9LiteVindoorstill0001P-number,420,5,5
06HuaweiP9LiteVoutdoormove0001P-number,420,5,5
06HuaweiP9LiteVoutdoorpanrot0001P-number,420,5,5
07AppleiPhone6PlusVflatpanrot0002P-number,420,6,6
07AppleiPhone6PlusVflatstill0002P-number,420,6,6
07AppleiPhone6PlusVindoormove0001P-number,420,6,9
07AppleiPhone6PlusVindoorstill0001P-number,420,6,6
07AppleiPhone6PlusVoutdoorpanrot0002P-number,419,6,6
07AppleiPhone6PlusVoutdoorstill0001P-number,418,6,6
08SonyXperiaZ1CompactVflatmove0001P-number,420,7,7
08SonyXperiaZ1CompactVflatpanrot0002P-number,419,7,7
08SonyXperiaZ1CompactVindoormove0001P-number,420,7,7
08SonyXperiaZ1CompactVindoorpanrot0001P-number,420,7,7
08SonyXperiaZ1CompactVoutdoormove0001P-number,420,7,7
08SonyXperiaZ1CompactVoutdoorstill0001P-number,420,7,7
09SamsungGalaxyS5Vflatpanrot0002P-number,420,8,8
09SamsungGalaxyS5Vflatstill0001P-number,419,8,8
09SamsungGalaxyS5Vindoorpanrot0002P-number,420,8,8
09SamsungGalaxyS5Vindoorstill0002P-number,420,8,8
09SamsungGalaxyS5Voutdoormove0002P-number,420,8,8
09SamsungGalaxyS5Voutdoorpanrot0002P-number,420,8,8
10AppleiPhone5Vflatmove0001P-number,420,9,9
10AppleiPhone5Vflatmove0002P-number,420,9,9
10AppleiPhone5Vindoorpanrot0001P-number,420,9,6
10AppleiPhone5Vindoorpanrot0002P-number,420,9,6
10AppleiPhone5Voutdoorpanrot0002P-number,418,9,9
10AppleiPhone5Voutdoorstill0002P-number,420,9,6
11XiaomiRedmiNote3Vflatmove0001P-number,420,10,5
11XiaomiRedmiNote3Vflatmove0002P-number,420,10,14
11XiaomiRedmiNote3Vindoorpanrot0001P-number,420,10,10
11XiaomiRedmiNote3Vindoorstill0001P-number,420,10,10
11XiaomiRedmiNote3Voutdoorpanrot0001P-number,419,10,10
11XiaomiRedmiNote3Voutdoorstill0002P-number,419,10,10
12OnePlusA3000Vflatmove0003P-number,420,11,11
12OnePlusA3000Vflatpanrot0001P-number,420,11,11
12OnePlusA3000Vindoormove0001P-number,420,11,10
12OnePlusA3000Vindoorpanrot0001P-number,420,11,11
12OnePlusA3000Voutdoormove0002P-number,420,11,11
12OnePlusA3000Voutdoorstill0001P-number,420,11,11
13HuaweiP8Vflatpanrot0001P-number,420,12,12
13HuaweiP8Vflatpanrot0002P-number,420,12,14
13HuaweiP8Vindoormove0001P-number,420,12,12
13HuaweiP8Vindoormove0002P-number,418,12,7
13HuaweiP8Voutdoormove0002P-number,420,12,12
13HuaweiP8Voutdoorstill0002P-number,420,12,12
14SamsungGalaxyS4MiniVflatpanrot0002P-number,420,13,13
14SamsungGalaxyS4MiniVflatstill0001P-number,419,13,13
14SamsungGalaxyS4MiniVindoormove0001P-number,420,13,13
14SamsungGalaxyS4MiniVindoormove0002P-number,419,13,13
14SamsungGalaxyS4MiniVoutdoorpanrot0002P-number,419,13,13
14SamsungGalaxyS4MiniVoutdoorstill0002P-number,420,13,13
15OnePlusA3003Vflatmove0001P-number,420,14,14
15OnePlusA3003Vflatstill0002P-number,420,14,14
15OnePlusA3003Vindoormove0001P-number,420,14,14
15OnePlusA3003Vindoorstill0002P-number,420,14,14
15OnePlusA3003Voutdoorpanrot0001P-number,420,14,14
