Device Type,Total Videos,Correct Videos,Percentage
01AppleiPhone4s,9,4,0.4444444444444444
02HuaweiP9,18,13,0.7222222222222222
03AppleiPhone6,15,14,0.9333333333333333
04SamsungGalaxyS3,18,13,0.7222222222222222
05AppleiPhone5c,18,15,0.8333333333333334
06HuaweiP9Lite,18,14,0.7777777777777778
07AppleiPhone6Plus,18,14,0.7777777777777778
08SonyXperiaZ1Compact,18,17,0.9444444444444444
09SamsungGalaxyS5,18,18,1.0
10AppleiPhone5,18,12,0.6666666666666666
11XiaomiRedmiNote,18,15,0.8333333333333334
12OnePlusA3000,18,15,0.8333333333333334
13HuaweiP,18,14,0.7777777777777778
14SamsungGalaxyS4Mini,18,18,1.0
15OnePlusA3003,17,13,0.7647058823529411
