Video Name,Total Frames,Correct Frames
01AppleiPhone4sVflatWAmove0001P-number,45,19
01AppleiPhone4sVflatYTmove0001P-number,420,128
01AppleiPhone4sVflatmove0001P-number,420,232
01AppleiPhone4sVindoorWAmove0001P-number,45,28
01AppleiPhone4sVindoorYTmove0001P-number,420,144
01AppleiPhone4sVindoormove0001P-number,420,120
01AppleiPhone4sVoutdoorWApanrot0001P-number,45,33
01AppleiPhone4sVoutdoorYTpanrot0001P-number,336,214
01AppleiPhone4sVoutdoorpanrot0001P-number,420,246
02HuaweiP9VflatWAmove0001P-number,45,44
02HuaweiP9VflatWApanrot0001P-number,45,45
02HuaweiP9VflatYTmove0001P-number,420,392
02HuaweiP9VflatYTpanrot0001P-number,420,420
02HuaweiP9Vflatmove0001P-number,420,420
02HuaweiP9Vflatpanrot0001P-number,420,420
02HuaweiP9VindoorWAstill0001P-number,45,38
02HuaweiP9VindoorWAstill0002P-number,45,45
02HuaweiP9VindoorYTstill0001P-number,392,324
02HuaweiP9VindoorYTstill0002P-number,392,382
02HuaweiP9Vindoorstill0001P-number,420,350
02HuaweiP9Vindoorstill0002P-number,420,410
02HuaweiP9VoutdoorWAmove0001P-number,45,21
02HuaweiP9VoutdoorWApanrot0002P-number,45,34
02HuaweiP9VoutdoorYTmove0001P-number,420,343
02HuaweiP9VoutdoorYTpanrot0002P-number,392,370
02HuaweiP9Voutdoormove0001P-number,419,341
02HuaweiP9Voutdoorpanrot0002P-number,420,403
03AppleiPhone6VflatWAmove0001P-number,45,45
03AppleiPhone6Vflatmove0001P-number,420,420
03AppleiPhone6VindoorWAmove0002P-number,45,9
03AppleiPhone6VindoorWAstill0001P-number,45,21
03AppleiPhone6VindoorYTmove0002P-number,420,95
03AppleiPhone6VindoorYTstill0001P-number,392,201
03AppleiPhone6Vindoormove0002P-number,420,171
03AppleiPhone6Vindoorstill0001P-number,420,188
03AppleiPhone6VoutdoorWAmove0002P-number,45,44
03AppleiPhone6VoutdoorWAstill0002P-number,45,45
03AppleiPhone6VoutdoorYTmove0002P-number,364,360
03AppleiPhone6VoutdoorYTstill0002P-number,364,364
03AppleiPhone6Voutdoormove0002P-number,420,416
03AppleiPhone6Voutdoorstill0002P-number,420,420
04SamsungGalaxyS3VflatWAmove0002P-number,45,45
04SamsungGalaxyS3VflatWAstill0002P-number,45,44
04SamsungGalaxyS3VflatYTmove0002P-number,420,420
04SamsungGalaxyS3VflatYTstill0002P-number,420,415
04SamsungGalaxyS3Vflatmove0002P-number,420,420
04SamsungGalaxyS3Vflatstill0002P-number,420,413
04SamsungGalaxyS3VindoorWApanrot0001P-number,45,10
04SamsungGalaxyS3VindoorWApanrot0002P-number,45,4
04SamsungGalaxyS3VindoorYTpanrot0001P-number,420,182
04SamsungGalaxyS3VindoorYTpanrot0002P-number,420,65
04SamsungGalaxyS3Vindoorpanrot0001P-number,420,155
04SamsungGalaxyS3Vindoorpanrot0002P-number,420,56
04SamsungGalaxyS3VoutdoorWApanrot0002P-number,45,27
04SamsungGalaxyS3VoutdoorWAstill0002P-number,45,24
04SamsungGalaxyS3VoutdoorYTpanrot0002P-number,392,275
04SamsungGalaxyS3VoutdoorYTstill0002P-number,392,226
04SamsungGalaxyS3Voutdoorpanrot0002P-number,420,325
04SamsungGalaxyS3Voutdoorstill0002P-number,420,249
05AppleiPhone5cVflatWAmove0003P-number,45,45
05AppleiPhone5cVflatWApanrot0002P-number,45,42
05AppleiPhone5cVflatYTmove0003P-number,420,420
05AppleiPhone5cVflatYTpanrot0002P-number,420,410
05AppleiPhone5cVflatmove0003P-number,420,420
05AppleiPhone5cVflatpanrot0002P-number,420,401
05AppleiPhone5cVindoorWApanrot0002P-number,45,19
05AppleiPhone5cVindoorWAstill0001P-number,45,15
05AppleiPhone5cVindoorYTpanrot0002P-number,392,116
05AppleiPhone5cVindoorYTstill0001P-number,392,150
05AppleiPhone5cVindoorpanrot0002P-number,420,122
05AppleiPhone5cVindoorstill0001P-number,420,134
05AppleiPhone5cVoutdoorWApanrot0001P-number,45,4
05AppleiPhone5cVoutdoorWAstill0002P-number,45,45
05AppleiPhone5cVoutdoorYTpanrot0001P-number,392,57
05AppleiPhone5cVoutdoorYTstill0002P-number,392,356
05AppleiPhone5cVoutdoorpanrot0001P-number,420,45
05AppleiPhone5cVoutdoorstill0002P-number,420,381
06HuaweiP9LiteVflatWAmove0001P-number,45,43
06HuaweiP9LiteVflatWAstill0001P-number,45,45
06HuaweiP9LiteVflatYTmove0001P-number,420,413
06HuaweiP9LiteVflatYTstill0001P-number,420,420
06HuaweiP9LiteVflatmove0001P-number,420,395
06HuaweiP9LiteVflatstill0001P-number,420,420
06HuaweiP9LiteVindoorWAmove0002P-number,45,6
06HuaweiP9LiteVindoorWAstill0001P-number,45,20
06HuaweiP9LiteVindoorYTmove0002P-number,420,71
06HuaweiP9LiteVindoorYTstill0001P-number,392,288
06HuaweiP9LiteVindoormove0002P-number,420,84
06HuaweiP9LiteVindoorstill0001P-number,420,295
06HuaweiP9LiteVoutdoorWAmove0001P-number,45,5
06HuaweiP9LiteVoutdoorWApanrot0001P-number,45,21
06HuaweiP9LiteVoutdoorYTmove0001P-number,420,127
06HuaweiP9LiteVoutdoorYTpanrot0001P-number,392,134
06HuaweiP9LiteVoutdoormove0001P-number,420,199
06HuaweiP9LiteVoutdoorpanrot0001P-number,420,148
07AppleiPhone6PlusVflatWApanrot0002P-number,45,45
07AppleiPhone6PlusVflatWAstill0002P-number,45,45
07AppleiPhone6PlusVflatYTpanrot0002P-number,420,420
07AppleiPhone6PlusVflatYTstill0002P-number,420,420
07AppleiPhone6PlusVflatpanrot0002P-number,420,401
07AppleiPhone6PlusVflatstill0002P-number,420,420
07AppleiPhone6PlusVindoorWAmove0001P-number,45,7
07AppleiPhone6PlusVindoorWAstill0001P-number,45,8
07AppleiPhone6PlusVindoorYTmove0001P-number,420,111
07AppleiPhone6PlusVindoorYTstill0001P-number,420,273
07AppleiPhone6PlusVindoormove0001P-number,420,108
07AppleiPhone6PlusVindoorstill0001P-number,420,324
07AppleiPhone6PlusVoutdoorWApanrot0002P-number,45,35
07AppleiPhone6PlusVoutdoorWAstill0001P-number,45,37
07AppleiPhone6PlusVoutdoorYTpanrot0002P-number,420,203
07AppleiPhone6PlusVoutdoorYTstill0001P-number,392,355
07AppleiPhone6PlusVoutdoorpanrot0002P-number,420,239
07AppleiPhone6PlusVoutdoorstill0001P-number,420,399
08SonyXperiaZ1CompactVflatWAmove0001P-number,45,45
08SonyXperiaZ1CompactVflatWApanrot0002P-number,45,45
08SonyXperiaZ1CompactVflatYTmove0001P-number,392,390
08SonyXperiaZ1CompactVflatYTpanrot0002P-number,392,389
08SonyXperiaZ1CompactVflatmove0001P-number,420,415
08SonyXperiaZ1CompactVflatpanrot0002P-number,420,419
08SonyXperiaZ1CompactVindoorWAmove0001P-number,45,20
08SonyXperiaZ1CompactVindoorWApanrot0001P-number,45,21
08SonyXperiaZ1CompactVindoorYTmove0001P-number,420,237
08SonyXperiaZ1CompactVindoorYTpanrot0001P-number,420,273
08SonyXperiaZ1CompactVindoormove0001P-number,420,235
08SonyXperiaZ1CompactVindoorpanrot0001P-number,420,275
08SonyXperiaZ1CompactVoutdoorWAmove0001P-number,45,18
08SonyXperiaZ1CompactVoutdoorWAstill0001P-number,45,26
08SonyXperiaZ1CompactVoutdoorYTmove0001P-number,420,196
08SonyXperiaZ1CompactVoutdoorYTstill0001P-number,392,316
08SonyXperiaZ1CompactVoutdoormove0001P-number,420,208
08SonyXperiaZ1CompactVoutdoorstill0001P-number,420,324
09SamsungGalaxyS5VflatWApanrot0002P-number,45,45
09SamsungGalaxyS5VflatWAstill0001P-number,45,45
09SamsungGalaxyS5VflatYTpanrot0002P-number,252,252
09SamsungGalaxyS5VflatYTstill0001P-number,420,420
09SamsungGalaxyS5Vflatpanrot0002P-number,420,420
09SamsungGalaxyS5Vflatstill0001P-number,420,420
09SamsungGalaxyS5VindoorWApanrot0002P-number,45,40
09SamsungGalaxyS5VindoorWAstill0002P-number,45,45
09SamsungGalaxyS5VindoorYTpanrot0002P-number,420,294
09SamsungGalaxyS5VindoorYTstill0002P-number,392,389
09SamsungGalaxyS5Vindoorpanrot0002P-number,420,328
09SamsungGalaxyS5Vindoorstill0002P-number,420,417
09SamsungGalaxyS5VoutdoorWAmove0002P-number,45,45
09SamsungGalaxyS5VoutdoorWApanrot0002P-number,45,39
09SamsungGalaxyS5VoutdoorYTmove0002P-number,420,387
09SamsungGalaxyS5VoutdoorYTpanrot0002P-number,392,365
09SamsungGalaxyS5Voutdoormove0002P-number,420,413
09SamsungGalaxyS5Voutdoorpanrot0002P-number,420,413
10AppleiPhone5VflatWAmove0001P-number,45,39
10AppleiPhone5VflatWAmove0002P-number,45,40
10AppleiPhone5VflatYTmove0001P-number,420,414
10AppleiPhone5VflatYTmove0002P-number,420,416
10AppleiPhone5Vflatmove0001P-number,420,420
10AppleiPhone5Vflatmove0002P-number,420,420
10AppleiPhone5VindoorWApanrot0001P-number,45,7
10AppleiPhone5VindoorWApanrot0002P-number,45,10
10AppleiPhone5VindoorYTpanrot0001P-number,420,141
10AppleiPhone5VindoorYTpanrot0002P-number,420,123
10AppleiPhone5Vindoorpanrot0001P-number,420,117
10AppleiPhone5Vindoorpanrot0002P-number,420,132
10AppleiPhone5VoutdoorWApanrot0002P-number,45,35
10AppleiPhone5VoutdoorWAstill0002P-number,45,22
10AppleiPhone5VoutdoorYTpanrot0002P-number,419,400
