Video Name,Total Frames,True Label,Mostly predicted label
01AppleiPhone4sVflatWAmove0001P-number,45,0,0
01AppleiPhone4sVflatYTmove0001P-number,420,0,4
01AppleiPhone4sVflatmove0001P-number,420,0,0
01AppleiPhone4sVindoorWAmove0001P-number,45,0,0
01AppleiPhone4sVindoorYTmove0001P-number,420,0,0
01AppleiPhone4sVindoormove0001P-number,420,0,9
01AppleiPhone4sVoutdoorWApanrot0001P-number,45,0,0
01AppleiPhone4sVoutdoorYTpanrot0001P-number,336,0,0
01AppleiPhone4sVoutdoorpanrot0001P-number,420,0,0
02HuaweiP9VflatWAmove0001P-number,45,1,1
02HuaweiP9VflatWApanrot0001P-number,45,1,1
02HuaweiP9VflatYTmove0001P-number,420,1,1
02HuaweiP9VflatYTpanrot0001P-number,420,1,1
02HuaweiP9Vflatmove0001P-number,420,1,1
02HuaweiP9Vflatpanrot0001P-number,420,1,1
02HuaweiP9VindoorWAstill0001P-number,45,1,1
02HuaweiP9VindoorWAstill0002P-number,45,1,1
02HuaweiP9VindoorYTstill0001P-number,392,1,1
02HuaweiP9VindoorYTstill0002P-number,392,1,1
02HuaweiP9Vindoorstill0001P-number,420,1,1
02HuaweiP9Vindoorstill0002P-number,420,1,1
02HuaweiP9VoutdoorWAmove0001P-number,45,1,1
02HuaweiP9VoutdoorWApanrot0002P-number,45,1,1
02HuaweiP9VoutdoorYTmove0001P-number,420,1,1
02HuaweiP9VoutdoorYTpanrot0002P-number,392,1,1
02HuaweiP9Voutdoormove0001P-number,419,1,1
02HuaweiP9Voutdoorpanrot0002P-number,420,1,1
03AppleiPhone6VflatWAmove0001P-number,45,2,2
03AppleiPhone6Vflatmove0001P-number,420,2,2
03AppleiPhone6VindoorWAmove0002P-number,45,2,4
03AppleiPhone6VindoorWAstill0001P-number,45,2,2
03AppleiPhone6VindoorYTmove0002P-number,420,2,6
03AppleiPhone6VindoorYTstill0001P-number,392,2,2
03AppleiPhone6Vindoormove0002P-number,420,2,2
03AppleiPhone6Vindoorstill0001P-number,420,2,2
03AppleiPhone6VoutdoorWAmove0002P-number,45,2,2
03AppleiPhone6VoutdoorWAstill0002P-number,45,2,2
03AppleiPhone6VoutdoorYTmove0002P-number,364,2,2
03AppleiPhone6VoutdoorYTstill0002P-number,364,2,2
03AppleiPhone6Voutdoormove0002P-number,420,2,2
