File,True Label,Predicted Label,Video Name
/data/home/mveksler/experiment_4/sector_1_patch/test/D06_Apple_iPhone6Plus/frame_number_2_vid_name_D06_Apple_iPhone6Plus_V_indoorYT_panrot_0001_P-number_005.jpg,5,2,06AppleiPhone6PlusVindoorYTpanrot0001P-number
/data/home/mveksler/experiment_4/sector_1_patch/test/D10_Samsung_GalaxyS4Mini/frame_number_1_vid_name_D10_Samsung_GalaxyS4Mini_V_flat_move_0003_P-number_005.jpg,9,9,10SamsungGalaxyS4MiniVflatmove0003P-number
/data/home/mveksler/experiment_4/sector_1_patch/test/D04_Apple_iPhone6/frame_number_0_vid_name_D04_Apple_iPhone6_V_outdoorYT_panrot_0002_P-number_006.jpg,3,3,04AppleiPhone6VoutdoorYTpanrot0002P-number
/data/home/mveksler/experiment_4/sector_1_patch/test/D05_Huawei_P9Lite/frame_number_1_vid_name_D05_Huawei_P9Lite_V_indoor_still_0001_P-number_003.jpg,4,1,05HuaweiP9LiteVindoorstill0001P-number
/data/home/mveksler/experiment_4/sector_1_patch/test/D07_Samsung_GalaxyS5/frame_number_1_vid_name_D07_Samsung_GalaxyS5_V_outdoorYT_still_0002_P-number_028.jpg,6,6,07SamsungGalaxyS5VoutdoorYTstill0002P-number
/data/home/mveksler/experiment_4/sector_1_patch/test/D10_Samsung_GalaxyS4Mini/frame_number_3_vid_name_D10_Samsung_GalaxyS4Mini_V_indoor_still_0002_P-number_009.jpg,9,9,10SamsungGalaxyS4MiniVindoorstill0002P-number
/data/home/mveksler/experiment_4/sector_1_patch/test/D09_Huawei_P8/frame_number_0_vid_name_D09_Huawei_P8_V_indoor_still_0001_P-number_012.jpg,8,4,09HuaweiP8Vindoorstill0001P-number
/data/home/mveksler/experiment_4/sector_1_patch/test/D07_Samsung_GalaxyS5/frame_number_2_vid_name_D07_Samsung_GalaxyS5_V_outdoorYT_move_0002_P-number_012.jpg,6,6,07SamsungGalaxyS5VoutdoorYTmove0002P-number
/data/home/mveksler/experiment_4/sector_1_patch/test/D03_Apple_iPhone5c/frame_number_2_vid_name_D03_Apple_iPhone5c_V_indoor_panrot_0002_P-number_015.jpg,2,2,03AppleiPhone5cVindoorpanrot0002P-number
/data/home/mveksler/experiment_4/sector_1_patch/test/D05_Huawei_P9Lite/frame_number_4_vid_name_D05_Huawei_P9Lite_V_indoorYT_still_0001_P-number_024.jpg,4,1,05HuaweiP9LiteVindoorYTstill0001P-number
/data/home/mveksler/experiment_4/sector_1_patch/test/D08_Apple_iPhone5/frame_number_0_vid_name_D08_Apple_iPhone5_V_flatYT_move_0001_P-number_027.jpg,7,1,08AppleiPhone5VflatYTmove0001P-number
/data/home/mveksler/experiment_4/sector_1_patch/test/D05_Huawei_P9Lite/frame_number_4_vid_name_D05_Huawei_P9Lite_V_outdoorYT_panrot_0001_P-number_012.jpg,4,4,05HuaweiP9LiteVoutdoorYTpanrot0001P-number
/data/home/mveksler/experiment_4/sector_1_patch/test/D10_Samsung_GalaxyS4Mini/frame_number_1_vid_name_D10_Samsung_GalaxyS4Mini_V_flat_move_0003_P-number_027.jpg,9,9,10SamsungGalaxyS4MiniVflatmove0003P-number
/data/home/mveksler/experiment_4/sector_1_patch/test/D08_Apple_iPhone5/frame_number_2_vid_name_D08_Apple_iPhone5_V_indoor_panrot_0001_P-number_011.jpg,7,2,08AppleiPhone5Vindoorpanrot0001P-number
/data/home/mveksler/experiment_4/sector_1_patch/test/D04_Apple_iPhone6/frame_number_0_vid_name_D04_Apple_iPhone6_V_indoor_move_0001_P-number_020.jpg,3,9,04AppleiPhone6Vindoormove0001P-number
/data/home/mveksler/experiment_4/sector_1_patch/test/D10_Samsung_GalaxyS4Mini/frame_number_1_vid_name_D10_Samsung_GalaxyS4Mini_V_indoor_panrot_0001_P-number_019.jpg,9,9,10SamsungGalaxyS4MiniVindoorpanrot0001P-number
