Video Name,Total Frames,True Label,Mostly predicted label
01SamsungGalaxyS3VflatWApanrot0002P-number,15,0,0
01SamsungGalaxyS3VflatWAstill0002P-number,15,0,0
01SamsungGalaxyS3VflatYTpanrot0002P-number,139,0,0
01SamsungGalaxyS3VflatYTstill0002P-number,140,0,0
01SamsungGalaxyS3Vflatpanrot0002P-number,140,0,0
01SamsungGalaxyS3Vflatstill0002P-number,140,0,0
01SamsungGalaxyS3VindoorWApanrot0002P-number,15,0,6
01SamsungGalaxyS3VindoorWAstill0002P-number,15,0,5
01SamsungGalaxyS3VindoorYTpanrot0002P-number,140,0,9
01SamsungGalaxyS3VindoorYTstill0002P-number,140,0,5
01SamsungGalaxyS3Vindoorpanrot0002P-number,140,0,9
01SamsungGalaxyS3Vindoorstill0002P-number,140,0,5
01SamsungGalaxyS3VoutdoorWApanrot0002P-number,15,0,0
01SamsungGalaxyS3VoutdoorWAstill0001P-number,15,0,1
01SamsungGalaxyS3VoutdoorYTpanrot0002P-number,139,0,0
01SamsungGalaxyS3VoutdoorYTstill0001P-number,140,0,0
01SamsungGalaxyS3Voutdoorpanrot0002P-number,140,0,0
01SamsungGalaxyS3Voutdoorstill0001P-number,140,0,0
02HuaweiP9VflatWAmove0002P-number,15,1,1
02HuaweiP9VflatWAstill0001P-number,14,1,1
02HuaweiP9VflatYTmove0002P-number,140,1,1
02HuaweiP9VflatYTstill0001P-number,140,1,1
02HuaweiP9Vflatmove0002P-number,140,1,1
02HuaweiP9Vflatstill0001P-number,140,1,1
02HuaweiP9VindoorWApanrot0002P-number,15,1,1
02HuaweiP9VindoorWAstill0002P-number,15,1,1
02HuaweiP9VindoorYTpanrot0002P-number,140,1,1
02HuaweiP9VindoorYTstill0002P-number,140,1,1
02HuaweiP9Vindoorpanrot0002P-number,139,1,1
02HuaweiP9Vindoorstill0002P-number,140,1,1
02HuaweiP9VoutdoorWApanrot0001P-number,15,1,5
02HuaweiP9VoutdoorWAstill0002P-number,15,1,4
02HuaweiP9VoutdoorYTpanrot0001P-number,139,1,1
02HuaweiP9VoutdoorYTstill0002P-number,140,1,1
02HuaweiP9Voutdoorpanrot0001P-number,140,1,5
02HuaweiP9Voutdoorstill0002P-number,140,1,1
03AppleiPhone5cVflatWAstill0001P-number,15,2,2
03AppleiPhone5cVflatWAstill0002P-number,15,2,2
03AppleiPhone5cVflatYTstill0001P-number,140,2,2
03AppleiPhone5cVflatYTstill0002P-number,140,2,2
03AppleiPhone5cVflatstill0001P-number,140,2,2
03AppleiPhone5cVflatstill0002P-number,140,2,2
03AppleiPhone5cVindoorWApanrot0002P-number,15,2,2
03AppleiPhone5cVindoorWAstill0002P-number,15,2,5
03AppleiPhone5cVindoorYTpanrot0002P-number,140,2,7
03AppleiPhone5cVindoorYTstill0002P-number,140,2,5
03AppleiPhone5cVindoorpanrot0002P-number,140,2,7
03AppleiPhone5cVindoorstill0002P-number,140,2,5
03AppleiPhone5cVoutdoorWApanrot0002P-number,15,2,2
03AppleiPhone5cVoutdoorpanrot0002P-number,139,2,2
04AppleiPhone6VflatWAmove0001P-number,15,3,3
04AppleiPhone6VflatWAmove0002P-number,15,3,3
04AppleiPhone6VflatYTmove0002P-number,140,3,3
04AppleiPhone6Vflatmove0001P-number,140,3,3
04AppleiPhone6Vflatmove0002P-number,140,3,3
04AppleiPhone6VindoorWAmove0001P-number,15,3,5
04AppleiPhone6VindoorWApanrot0001P-number,15,3,5
04AppleiPhone6VindoorYTpanrot0001P-number,140,3,5
04AppleiPhone6Vindoormove0001P-number,140,3,5
04AppleiPhone6Vindoorpanrot0001P-number,139,3,5
04AppleiPhone6VoutdoorWAmove0001P-number,15,3,3
04AppleiPhone6VoutdoorWApanrot0002P-number,15,3,3
04AppleiPhone6VoutdoorYTmove0001P-number,140,3,3
04AppleiPhone6VoutdoorYTpanrot0002P-number,140,3,3
04AppleiPhone6Voutdoormove0001P-number,140,3,3
04AppleiPhone6Voutdoorpanrot0002P-number,140,3,3
05HuaweiP9LiteVflatWAmove0003P-number,15,4,4
05HuaweiP9LiteVflatWApanrot0002P-number,15,4,4
05HuaweiP9LiteVflatYTmove0003P-number,140,4,4
05HuaweiP9LiteVflatYTpanrot0002P-number,140,4,4
05HuaweiP9LiteVflatmove0003P-number,140,4,4
05HuaweiP9LiteVflatpanrot0002P-number,140,4,4
05HuaweiP9LiteVindoorWApanrot0002P-number,15,4,4
