Video Name,Total Frames,True Label,Mostly predicted label
01AppleiPhone5cVflatWAmove0001P-number,40,0,0
01AppleiPhone5cVflatWApanrot0002P-number,44,0,0
01AppleiPhone5cVflatYTmove0001P-number,192,0,0
01AppleiPhone5cVflatYTpanrot0002P-number,224,0,0
01AppleiPhone5cVflatmove0001P-number,215,0,0
01AppleiPhone5cVflatpanrot0002P-number,224,0,0
01AppleiPhone5cVindoorWAmove0002P-number,12,0,0
01AppleiPhone5cVindoorWAstill0002P-number,15,0,0
01AppleiPhone5cVindoorYTmove0002P-number,64,0,3
01AppleiPhone5cVindoorYTstill0002P-number,117,0,0
01AppleiPhone5cVindoormove0002P-number,44,0,2
01AppleiPhone5cVindoorstill0002P-number,142,0,0
01AppleiPhone5cVoutdoorWApanrot0002P-number,7,0,0
01AppleiPhone5cVoutdoorpanrot0002P-number,45,0,3
02HuaweiP9LiteVflatWApanrot0002P-number,45,1,1
02HuaweiP9LiteVflatWAstill0002P-number,15,1,1
02HuaweiP9LiteVflatYTpanrot0002P-number,225,1,1
02HuaweiP9LiteVflatYTstill0002P-number,225,1,1
02HuaweiP9LiteVflatpanrot0002P-number,224,1,1
02HuaweiP9LiteVflatstill0002P-number,225,1,1
02HuaweiP9LiteVindoorWAstill0001P-number,15,1,1
02HuaweiP9LiteVindoorYTstill0001P-number,30,1,1
02HuaweiP9LiteVindoorYTstill0002P-number,39,1,1
02HuaweiP9LiteVindoorstill0001P-number,33,1,1
02HuaweiP9LiteVindoorstill0002P-number,41,1,1
02HuaweiP9LiteVoutdoorWApanrot0001P-number,9,1,1
02HuaweiP9LiteVoutdoorYTpanrot0001P-number,30,1,1
02HuaweiP9LiteVoutdoorYTstill0001P-number,45,1,1
02HuaweiP9LiteVoutdoorpanrot0001P-number,31,1,1
02HuaweiP9LiteVoutdoorstill0001P-number,46,1,1
03AppleiPhone6PlusVflatWAmove0003P-number,45,2,2
03AppleiPhone6PlusVflatWAstill0002P-number,45,2,2
03AppleiPhone6PlusVflatYTmove0003P-number,225,2,2
03AppleiPhone6PlusVflatYTstill0002P-number,225,2,2
03AppleiPhone6PlusVflatmove0003P-number,224,2,2
03AppleiPhone6PlusVflatstill0002P-number,225,2,2
03AppleiPhone6PlusVindoorWAmove0001P-number,13,2,2
03AppleiPhone6PlusVindoorWApanrot0001P-number,22,2,2
03AppleiPhone6PlusVindoorYTmove0001P-number,42,2,2
03AppleiPhone6PlusVindoorYTpanrot0001P-number,179,2,2
03AppleiPhone6PlusVindoormove0001P-number,52,2,2
03AppleiPhone6PlusVindoorpanrot0001P-number,169,2,2
03AppleiPhone6PlusVoutdoorWApanrot0001P-number,12,2,2
03AppleiPhone6PlusVoutdoorWAstill0001P-number,15,2,2
03AppleiPhone6PlusVoutdoorYTpanrot0001P-number,38,2,2
03AppleiPhone6PlusVoutdoorYTstill0001P-number,51,2,2
03AppleiPhone6PlusVoutdoorpanrot0001P-number,41,2,2
03AppleiPhone6PlusVoutdoorstill0001P-number,51,2,2
