File,True Label,Predicted Label,Video Name
/data/home/mveksler/exp_4_ten_devices_frames_1st_sector/test/D02_Huawei_P9/frame_number_46_vid_name_D02_Huawei_P9_V_indoor_panrot_0002_P-number_005.jpg,1,4,02HuaweiP9Vindoorpanrot0002P-number
/data/home/mveksler/exp_4_ten_devices_frames_1st_sector/test/D01_Samsung_GalaxyS3/frame_number_52_vid_name_D01_Samsung_GalaxyS3_V_indoor_move_0001_P-number_002.jpg,0,4,01SamsungGalaxyS3Vindoormove0001P-number
/data/home/mveksler/exp_4_ten_devices_frames_1st_sector/test/D04_Apple_iPhone6/frame_number_253_vid_name_D04_Apple_iPhone6_V_outdoorYT_panrot_0002_P-number_001.jpg,3,8,04AppleiPhone6VoutdoorYTpanrot0002P-number
/data/home/mveksler/exp_4_ten_devices_frames_1st_sector/test/D02_Huawei_P9/frame_number_41_vid_name_D02_Huawei_P9_V_flatYT_move_0002_P-number_009.jpg,1,1,02HuaweiP9VflatYTmove0002P-number
/data/home/mveksler/exp_4_ten_devices_frames_1st_sector/test/D07_Samsung_GalaxyS5/frame_number_146_vid_name_D07_Samsung_GalaxyS5_V_flat_move_0002_P-number_010.jpg,6,6,07SamsungGalaxyS5Vflatmove0002P-number
/data/home/mveksler/exp_4_ten_devices_frames_1st_sector/test/D01_Samsung_GalaxyS3/frame_number_178_vid_name_D01_Samsung_GalaxyS3_V_flatYT_still_0002_P-number_012.jpg,0,0,01SamsungGalaxyS3VflatYTstill0002P-number
/data/home/mveksler/exp_4_ten_devices_frames_1st_sector/test/D07_Samsung_GalaxyS5/frame_number_38_vid_name_D07_Samsung_GalaxyS5_V_flatYT_panrot_0001_P-number_006.jpg,6,6,07SamsungGalaxyS5VflatYTpanrot0001P-number
/data/home/mveksler/exp_4_ten_devices_frames_1st_sector/test/D05_Huawei_P9Lite/frame_number_166_vid_name_D05_Huawei_P9Lite_V_flatYT_still_0002_P-number_006.jpg,4,4,05HuaweiP9LiteVflatYTstill0002P-number
/data/home/mveksler/exp_4_ten_devices_frames_1st_sector/test/D10_Samsung_GalaxyS4Mini/frame_number_221_vid_name_D10_Samsung_GalaxyS4Mini_V_indoorYT_move_0002_P-number_001.jpg,9,9,10SamsungGalaxyS4MiniVindoorYTmove0002P-number
/data/home/mveksler/exp_4_ten_devices_frames_1st_sector/test/D04_Apple_iPhone6/frame_number_220_vid_name_D04_Apple_iPhone6_V_outdoor_panrot_0002_P-number_002.jpg,3,3,04AppleiPhone6Voutdoorpanrot0002P-number
