Video Name,Total Frames,True Label,Mostly predicted label
01SamsungGalaxyS3VflatWApanrot0002P-number,15,0,0
01SamsungGalaxyS3VflatWAstill0002P-number,15,0,0
01SamsungGalaxyS3VflatYTpanrot0002P-number,225,0,0
01SamsungGalaxyS3VflatYTstill0002P-number,204,0,0
01SamsungGalaxyS3Vflatpanrot0002P-number,225,0,0
01SamsungGalaxyS3Vflatstill0002P-number,205,0,0
01SamsungGalaxyS3VindoorWAmove0001P-number,14,0,5
01SamsungGalaxyS3VindoorWAmove0002P-number,15,0,5
01SamsungGalaxyS3VindoorYTmove0001P-number,73,0,4
01SamsungGalaxyS3VindoorYTmove0002P-number,71,0,0
01SamsungGalaxyS3Vindoormove0001P-number,71,0,4
01SamsungGalaxyS3Vindoormove0002P-number,74,0,5
01SamsungGalaxyS3VoutdoorWAstill0002P-number,15,0,0
01SamsungGalaxyS3VoutdoorYTstill0001P-number,14,0,1
01SamsungGalaxyS3VoutdoorYTstill0002P-number,16,0,0
01SamsungGalaxyS3Voutdoorstill0001P-number,15,0,1
01SamsungGalaxyS3Voutdoorstill0002P-number,20,0,0
02HuaweiP9VflatWAmove0002P-number,44,1,1
02HuaweiP9VflatWAmove0003P-number,45,1,1
02HuaweiP9VflatYTmove0002P-number,224,1,1
02HuaweiP9VflatYTmove0003P-number,224,1,1
02HuaweiP9Vflatmove0002P-number,225,1,1
02HuaweiP9Vflatmove0003P-number,224,1,1
02HuaweiP9VindoorWApanrot0001P-number,3,1,1
02HuaweiP9VindoorWApanrot0002P-number,11,1,1
02HuaweiP9VindoorYTpanrot0001P-number,43,1,1
02HuaweiP9VindoorYTpanrot0002P-number,39,1,1
02HuaweiP9Vindoorpanrot0001P-number,42,1,1
02HuaweiP9Vindoorpanrot0002P-number,47,1,1
02HuaweiP9VoutdoorWApanrot0001P-number,11,1,4
02HuaweiP9VoutdoorWApanrot0002P-number,10,1,4
02HuaweiP9VoutdoorYTpanrot0001P-number,42,1,4
02HuaweiP9VoutdoorYTpanrot0002P-number,34,1,1
02HuaweiP9Voutdoorpanrot0001P-number,31,1,4
02HuaweiP9Voutdoorpanrot0002P-number,36,1,4
03AppleiPhone5cVflatWAmove0002P-number,45,2,2
03AppleiPhone5cVflatWAmove0003P-number,42,2,2
03AppleiPhone5cVflatYTmove0002P-number,216,2,2
03AppleiPhone5cVflatYTmove0003P-number,225,2,2
03AppleiPhone5cVflatmove0002P-number,212,2,2
03AppleiPhone5cVflatmove0003P-number,224,2,2
03AppleiPhone5cVindoorWApanrot0001P-number,11,2,9
03AppleiPhone5cVindoorWApanrot0002P-number,22,2,2
03AppleiPhone5cVindoorYTpanrot0001P-number,103,2,7
03AppleiPhone5cVindoorYTpanrot0002P-number,191,2,2
03AppleiPhone5cVindoorpanrot0001P-number,72,2,7
03AppleiPhone5cVindoorpanrot0002P-number,120,2,7
03AppleiPhone5cVoutdoorWApanrot0001P-number,8,2,8
03AppleiPhone5cVoutdoorpanrot0001P-number,37,2,3
04AppleiPhone6VflatWApanrot0001P-number,22,3,3
04AppleiPhone6VflatWAstill0001P-number,31,3,3
04AppleiPhone6VflatYTpanrot0001P-number,225,3,3
04AppleiPhone6VflatYTstill0001P-number,225,3,3
04AppleiPhone6Vflatpanrot0001P-number,225,3,3
04AppleiPhone6Vflatstill0001P-number,225,3,3
04AppleiPhone6VindoorWAmove0001P-number,16,3,3
04AppleiPhone6VindoorWApanrot0002P-number,13,3,5
04AppleiPhone6VindoorYTpanrot0002P-number,70,3,5
04AppleiPhone6Vindoormove0001P-number,64,3,5
04AppleiPhone6Vindoorpanrot0002P-number,48,3,3
04AppleiPhone6VoutdoorWApanrot0001P-number,12,3,8
04AppleiPhone6VoutdoorWApanrot0002P-number,11,3,3
04AppleiPhone6VoutdoorYTpanrot0001P-number,31,3,3
04AppleiPhone6VoutdoorYTpanrot0002P-number,28,3,3
04AppleiPhone6Voutdoorpanrot0001P-number,30,3,3
04AppleiPhone6Voutdoorpanrot0002P-number,30,3,3
05HuaweiP9LiteVflatWAstill0001P-number,45,4,4
05HuaweiP9LiteVflatWAstill0002P-number,15,4,4
05HuaweiP9LiteVflatYTstill0001P-number,225,4,4
05HuaweiP9LiteVflatYTstill0002P-number,225,4,4
05HuaweiP9LiteVflatstill0001P-number,225,4,4
05HuaweiP9LiteVflatstill0002P-number,225,4,4
05HuaweiP9LiteVindoorWApanrot0001P-number,9,4,4
