Video Name,Total Frames,True Label,Mostly predicted label
01SamsungGalaxyS3VflatWAmove0001P-number,45,0,0
01SamsungGalaxyS3VflatWApanrot0001P-number,45,0,0
01SamsungGalaxyS3VflatYTmove0001P-number,225,0,0
01SamsungGalaxyS3VflatYTpanrot0001P-number,225,0,0
01SamsungGalaxyS3Vflatmove0001P-number,225,0,0
01SamsungGalaxyS3Vflatpanrot0001P-number,225,0,0
01SamsungGalaxyS3VindoorWAmove0001P-number,43,0,0
01SamsungGalaxyS3VindoorWApanrot0001P-number,40,0,0
01SamsungGalaxyS3VindoorYTmove0001P-number,225,0,0
01SamsungGalaxyS3VindoorYTpanrot0001P-number,225,0,0
01SamsungGalaxyS3Vindoormove0001P-number,225,0,0
01SamsungGalaxyS3Vindoorpanrot0001P-number,225,0,0
01SamsungGalaxyS3VoutdoorWApanrot0002P-number,41,0,0
01SamsungGalaxyS3VoutdoorWAstill0002P-number,45,0,1
01SamsungGalaxyS3VoutdoorYTpanrot0002P-number,210,0,0
01SamsungGalaxyS3VoutdoorYTstill0002P-number,210,0,0
01SamsungGalaxyS3Voutdoorpanrot0002P-number,225,0,0
01SamsungGalaxyS3Voutdoorstill0002P-number,225,0,0
02HuaweiP9VflatWAmove0001P-number,45,1,1
02HuaweiP9VflatWAstill0001P-number,44,1,1
02HuaweiP9VflatYTmove0001P-number,224,1,1
02HuaweiP9VflatYTstill0001P-number,225,1,1
02HuaweiP9Vflatmove0001P-number,225,1,1
02HuaweiP9Vflatstill0001P-number,224,1,1
02HuaweiP9VindoorWApanrot0002P-number,39,1,4
02HuaweiP9VindoorWAstill0002P-number,41,1,1
02HuaweiP9VindoorYTpanrot0002P-number,209,1,1
02HuaweiP9VindoorYTstill0002P-number,210,1,1
02HuaweiP9Vindoorpanrot0002P-number,225,1,1
02HuaweiP9Vindoorstill0002P-number,225,1,1
02HuaweiP9VoutdoorWAmove0001P-number,39,1,1
02HuaweiP9VoutdoorWApanrot0002P-number,35,1,1
02HuaweiP9VoutdoorYTmove0001P-number,225,1,1
02HuaweiP9VoutdoorYTpanrot0002P-number,210,1,1
02HuaweiP9Voutdoormove0001P-number,225,1,1
02HuaweiP9Voutdoorpanrot0002P-number,225,1,1
03AppleiPhone5cVflatWAmove0002P-number,45,2,2
03AppleiPhone5cVflatWApanrot0001P-number,45,2,2
03AppleiPhone5cVflatYTmove0002P-number,225,2,2
03AppleiPhone5cVflatYTpanrot0001P-number,225,2,2
03AppleiPhone5cVflatmove0002P-number,225,2,2
03AppleiPhone5cVflatpanrot0001P-number,225,2,2
03AppleiPhone5cVindoorWAmove0002P-number,41,2,7
03AppleiPhone5cVindoorWAstill0002P-number,45,2,5
03AppleiPhone5cVindoorYTmove0002P-number,225,2,7
03AppleiPhone5cVindoorYTstill0002P-number,195,2,5
03AppleiPhone5cVindoormove0002P-number,225,2,7
03AppleiPhone5cVindoorstill0002P-number,225,2,5
03AppleiPhone5cVoutdoorWApanrot0002P-number,33,2,6
03AppleiPhone5cVoutdoorpanrot0002P-number,225,2,8
04AppleiPhone6VflatWAmove0001P-number,45,3,3
04AppleiPhone6VflatWApanrot0001P-number,45,3,3
04AppleiPhone6VflatYTpanrot0001P-number,225,3,3
04AppleiPhone6Vflatmove0001P-number,225,3,3
04AppleiPhone6Vflatpanrot0001P-number,225,3,3
04AppleiPhone6VindoorWAmove0002P-number,39,3,6
04AppleiPhone6VindoorWAstill0001P-number,30,3,4
04AppleiPhone6VindoorYTmove0002P-number,225,3,5
04AppleiPhone6VindoorYTstill0001P-number,210,3,3
04AppleiPhone6Vindoormove0002P-number,224,3,3
04AppleiPhone6Vindoorstill0001P-number,225,3,3
04AppleiPhone6VoutdoorWAmove0002P-number,28,3,3
04AppleiPhone6VoutdoorWAstill0002P-number,44,3,3
04AppleiPhone6VoutdoorYTmove0002P-number,195,3,3
04AppleiPhone6VoutdoorYTstill0002P-number,195,3,3
04AppleiPhone6Voutdoormove0002P-number,225,3,3
04AppleiPhone6Voutdoorstill0002P-number,225,3,3
05HuaweiP9LiteVflatWAmove0003P-number,45,4,4
05HuaweiP9LiteVflatWAstill0002P-number,45,4,4
05HuaweiP9LiteVflatYTmove0003P-number,225,4,4
05HuaweiP9LiteVflatYTstill0002P-number,225,4,4
05HuaweiP9LiteVflatmove0003P-number,225,4,4
05HuaweiP9LiteVflatstill0002P-number,225,4,4
05HuaweiP9LiteVindoorWApanrot0001P-number,39,4,4
05HuaweiP9LiteVindoorWAstill0002P-number,45,4,4
05HuaweiP9LiteVindoorYTpanrot0001P-number,210,4,4
05HuaweiP9LiteVindoorYTstill0002P-number,194,4,4
05HuaweiP9LiteVindoorpanrot0001P-number,225,4,4
05HuaweiP9LiteVindoorstill0002P-number,225,4,4
05HuaweiP9LiteVoutdoorWApanrot0001P-number,37,4,1
05HuaweiP9LiteVoutdoorWApanrot0002P-number,34,4,8
05HuaweiP9LiteVoutdoorYTpanrot0001P-number,210,4,4
05HuaweiP9LiteVoutdoorYTpanrot0002P-number,210,4,4
05HuaweiP9LiteVoutdoorpanrot0001P-number,225,4,4
05HuaweiP9LiteVoutdoorpanrot0002P-number,225,4,4
06AppleiPhone6PlusVflatWApanrot0002P-number,43,5,5
06AppleiPhone6PlusVflatWAstill0002P-number,45,5,5
06AppleiPhone6PlusVflatYTpanrot0002P-number,224,5,5
06AppleiPhone6PlusVflatYTstill0002P-number,225,5,5
06AppleiPhone6PlusVflatpanrot0002P-number,224,5,5
06AppleiPhone6PlusVflatstill0002P-number,225,5,5
06AppleiPhone6PlusVindoorWAmove0001P-number,39,5,7
06AppleiPhone6PlusVindoorWAstill0001P-number,45,5,5
06AppleiPhone6PlusVindoorYTmove0001P-number,225,5,5
06AppleiPhone6PlusVindoorYTstill0001P-number,225,5,5
06AppleiPhone6PlusVindoormove0001P-number,225,5,7
06AppleiPhone6PlusVindoorstill0001P-number,225,5,5
06AppleiPhone6PlusVoutdoorWApanrot0002P-number,38,5,5
06AppleiPhone6PlusVoutdoorWAstill0001P-number,45,5,5
06AppleiPhone6PlusVoutdoorYTpanrot0002P-number,224,5,5
06AppleiPhone6PlusVoutdoorYTstill0001P-number,210,5,5
06AppleiPhone6PlusVoutdoorpanrot0002P-number,225,5,5
06AppleiPhone6PlusVoutdoorstill0001P-number,225,5,5
07SamsungGalaxyS5VflatWApanrot0001P-number,45,6,6
07SamsungGalaxyS5VflatWApanrot0002P-number,45,6,6
07SamsungGalaxyS5VflatYTpanrot0001P-number,225,6,6
07SamsungGalaxyS5VflatYTpanrot0002P-number,134,6,6
07SamsungGalaxyS5Vflatpanrot0001P-number,225,6,6
07SamsungGalaxyS5Vflatpanrot0002P-number,225,6,6
07SamsungGalaxyS5VindoorWAstill0001P-number,30,6,6
07SamsungGalaxyS5VindoorWAstill0002P-number,37,6,6
07SamsungGalaxyS5VindoorYTstill0001P-number,225,6,6
07SamsungGalaxyS5VindoorYTstill0002P-number,210,6,6
07SamsungGalaxyS5Vindoorstill0001P-number,225,6,6
07SamsungGalaxyS5Vindoorstill0002P-number,225,6,6
07SamsungGalaxyS5VoutdoorWAmove0002P-number,39,6,6
07SamsungGalaxyS5VoutdoorWApanrot0002P-number,30,6,6
07SamsungGalaxyS5VoutdoorYTmove0002P-number,225,6,6
07SamsungGalaxyS5VoutdoorYTpanrot0002P-number,210,6,6
07SamsungGalaxyS5Voutdoormove0002P-number,225,6,6
07SamsungGalaxyS5Voutdoorpanrot0002P-number,225,6,6
08AppleiPhone5VflatWAmove0001P-number,45,7,2
08AppleiPhone5VflatWApanrot0002P-number,45,7,7
08AppleiPhone5VflatYTmove0001P-number,225,7,7
08AppleiPhone5VflatYTpanrot0002P-number,225,7,7
08AppleiPhone5Vflatmove0001P-number,225,7,7
08AppleiPhone5Vflatpanrot0002P-number,225,7,7
08AppleiPhone5VindoorWApanrot0002P-number,42,7,7
08AppleiPhone5VindoorWAstill0002P-number,45,7,7
08AppleiPhone5VindoorYTpanrot0002P-number,223,7,7
08AppleiPhone5VindoorYTstill0002P-number,225,7,7
08AppleiPhone5Vindoorpanrot0002P-number,225,7,7
08AppleiPhone5Vindoorstill0002P-number,224,7,7
08AppleiPhone5VoutdoorWApanrot0002P-number,39,7,7
08AppleiPhone5VoutdoorWAstill0002P-number,15,7,5
08AppleiPhone5VoutdoorYTpanrot0002P-number,225,7,7
08AppleiPhone5VoutdoorYTstill0002P-number,210,7,7
08AppleiPhone5Voutdoorpanrot0002P-number,225,7,7
08AppleiPhone5Voutdoorstill0002P-number,225,7,7
09HuaweiP8VflatWApanrot0002P-number,45,8,8
09HuaweiP8VflatWAstill0002P-number,45,8,8
09HuaweiP8VflatYTpanrot0002P-number,225,8,8
09HuaweiP8VflatYTstill0002P-number,209,8,8
09HuaweiP8Vflatpanrot0002P-number,225,8,8
09HuaweiP8Vflatstill0002P-number,225,8,8
09HuaweiP8VindoorWApanrot0001P-number,41,8,8
09HuaweiP8VindoorWApanrot0002P-number,36,8,4
09HuaweiP8VindoorYTpanrot0001P-number,224,8,8
09HuaweiP8VindoorYTpanrot0002P-number,225,8,8
09HuaweiP8Vindoorpanrot0001P-number,223,8,8
09HuaweiP8Vindoorpanrot0002P-number,225,8,8
09HuaweiP8VoutdoorWAmove0001P-number,34,8,8
09HuaweiP8VoutdoorWAmove0002P-number,37,8,8
09HuaweiP8VoutdoorYTmove0001P-number,210,8,8
09HuaweiP8VoutdoorYTmove0002P-number,225,8,8
09HuaweiP8Voutdoormove0001P-number,225,8,8
09HuaweiP8Voutdoormove0002P-number,225,8,8
10SamsungGalaxyS4MiniVflatWApanrot0002P-number,37,9,9
10SamsungGalaxyS4MiniVflatWAstill0001P-number,30,9,9
10SamsungGalaxyS4MiniVflatYTpanrot0002P-number,225,9,9
10SamsungGalaxyS4MiniVflatYTstill0001P-number,225,9,9
10SamsungGalaxyS4MiniVflatpanrot0002P-number,223,9,9
10SamsungGalaxyS4MiniVflatstill0001P-number,223,9,9
10SamsungGalaxyS4MiniVindoorWAmove0001P-number,39,9,9
10SamsungGalaxyS4MiniVindoorWAmove0002P-number,43,9,9
10SamsungGalaxyS4MiniVindoorYTmove0001P-number,210,9,9
10SamsungGalaxyS4MiniVindoorYTmove0002P-number,225,9,9
10SamsungGalaxyS4MiniVindoormove0001P-number,225,9,9
10SamsungGalaxyS4MiniVindoormove0002P-number,225,9,9
10SamsungGalaxyS4MiniVoutdoorWApanrot0002P-number,38,9,9
10SamsungGalaxyS4MiniVoutdoorWAstill0002P-number,45,9,9
10SamsungGalaxyS4MiniVoutdoorYTpanrot0002P-number,209,9,9
10SamsungGalaxyS4MiniVoutdoorYTstill0002P-number,210,9,9
10SamsungGalaxyS4MiniVoutdoorpanrot0002P-number,225,9,9
