File,True Label,Predicted Label,Video Name
/data/home/mveksler/experiment_5_Apple/sector_1_patch/test/D06_Apple_iPhone6Plus/frame_number_10_vid_name_D06_Apple_iPhone6Plus_V_outdoor_still_0001_P-number_010.jpg,2,2,06AppleiPhone6PlusVoutdoorstill0001P-number
/data/home/mveksler/experiment_5_Apple/sector_1_patch/test/D08_Apple_iPhone5/frame_number_0_vid_name_D08_Apple_iPhone5_V_flatYT_panrot_0002_P-number_001.jpg,3,3,08AppleiPhone5VflatYTpanrot0002P-number
/data/home/mveksler/experiment_5_Apple/sector_1_patch/test/D08_Apple_iPhone5/frame_number_12_vid_name_D08_Apple_iPhone5_V_outdoor_still_0002_P-number_014.jpg,3,2,08AppleiPhone5Voutdoorstill0002P-number
/data/home/mveksler/experiment_5_Apple/sector_1_patch/test/D06_Apple_iPhone6Plus/frame_number_12_vid_name_D06_Apple_iPhone6Plus_V_outdoor_still_0001_P-number_010.jpg,2,2,06AppleiPhone6PlusVoutdoorstill0001P-number
/data/home/mveksler/experiment_5_Apple/sector_1_patch/test/D06_Apple_iPhone6Plus/frame_number_13_vid_name_D06_Apple_iPhone6Plus_V_outdoorYT_still_0001_P-number_011.jpg,2,2,06AppleiPhone6PlusVoutdoorYTstill0001P-number
/data/home/mveksler/experiment_5_Apple/sector_1_patch/test/D04_Apple_iPhone6/frame_number_2_vid_name_D04_Apple_iPhone6_V_outdoor_still_0002_P-number_006.jpg,1,1,04AppleiPhone6Voutdoorstill0002P-number
/data/home/mveksler/experiment_5_Apple/sector_1_patch/test/D03_Apple_iPhone5c/frame_number_11_vid_name_D03_Apple_iPhone5c_V_indoorYT_move_0002_P-number_014.jpg,0,3,03AppleiPhone5cVindoorYTmove0002P-number
/data/home/mveksler/experiment_5_Apple/sector_1_patch/test/D04_Apple_iPhone6/frame_number_3_vid_name_D04_Apple_iPhone6_V_outdoorYT_move_0002_P-number_005.jpg,1,1,04AppleiPhone6VoutdoorYTmove0002P-number
/data/home/mveksler/experiment_5_Apple/sector_1_patch/test/D03_Apple_iPhone5c/frame_number_4_vid_name_D03_Apple_iPhone5c_V_indoorYT_move_0002_P-number_005.jpg,0,2,03AppleiPhone5cVindoorYTmove0002P-number
/data/home/mveksler/experiment_5_Apple/sector_1_patch/test/D06_Apple_iPhone6Plus/frame_number_3_vid_name_D06_Apple_iPhone6Plus_V_flat_still_0002_P-number_014.jpg,2,2,06AppleiPhone6PlusVflatstill0002P-number
/data/home/mveksler/experiment_5_Apple/sector_1_patch/test/D04_Apple_iPhone6/frame_number_3_vid_name_D04_Apple_iPhone6_V_indoor_move_0002_P-number_006.jpg,1,3,04AppleiPhone6Vindoormove0002P-number
/data/home/mveksler/experiment_5_Apple/sector_1_patch/test/D04_Apple_iPhone6/frame_number_9_vid_name_D04_Apple_iPhone6_V_flat_move_0001_P-number_011.jpg,1,1,04AppleiPhone6Vflatmove0001P-number
/data/home/mveksler/experiment_5_Apple/sector_1_patch/test/D03_Apple_iPhone5c/frame_number_13_vid_name_D03_Apple_iPhone5c_V_indoorYT_move_0002_P-number_004.jpg,0,3,03AppleiPhone5cVindoorYTmove0002P-number
/data/home/mveksler/experiment_5_Apple/sector_1_patch/test/D08_Apple_iPhone5/frame_number_10_vid_name_D08_Apple_iPhone5_V_outdoorYT_still_0002_P-number_007.jpg,3,3,08AppleiPhone5VoutdoorYTstill0002P-number
/data/home/mveksler/experiment_5_Apple/sector_1_patch/test/D03_Apple_iPhone5c/frame_number_8_vid_name_D03_Apple_iPhone5c_V_flatYT_move_0002_P-number_004.jpg,0,0,03AppleiPhone5cVflatYTmove0002P-number
/data/home/mveksler/experiment_5_Apple/sector_1_patch/test/D04_Apple_iPhone6/frame_number_5_vid_name_D04_Apple_iPhone6_V_outdoor_move_0002_P-number_012.jpg,1,1,04AppleiPhone6Voutdoormove0002P-number
/data/home/mveksler/experiment_5_Apple/sector_1_patch/test/D03_Apple_iPhone5c/frame_number_2_vid_name_D03_Apple_iPhone5c_V_indoor_still_0002_P-number_004.jpg,0,0,03AppleiPhone5cVindoorstill0002P-number
/data/home/mveksler/experiment_5_Apple/sector_1_patch/test/D06_Apple_iPhone6Plus/frame_number_11_vid_name_D06_Apple_iPhone6Plus_V_flatYT_still_0002_P-number_013.jpg,2,2,06AppleiPhone6PlusVflatYTstill0002P-number
/data/home/mveksler/experiment_5_Apple/sector_1_patch/test/D03_Apple_iPhone5c/frame_number_8_vid_name_D03_Apple_iPhone5c_V_flatYT_panrot_0001_P-number_005.jpg,0,0,03AppleiPhone5cVflatYTpanrot0001P-number
