Video Name,Total Frames,True Label,Mostly predicted label
03AppleiPhone5cVflatWAmove0002P-number,45,0,0
03AppleiPhone5cVflatWApanrot0001P-number,45,0,0
03AppleiPhone5cVflatYTmove0002P-number,225,0,0
03AppleiPhone5cVflatYTpanrot0001P-number,225,0,0
03AppleiPhone5cVflatmove0002P-number,225,0,0
03AppleiPhone5cVflatpanrot0001P-number,225,0,0
03AppleiPhone5cVindoorWAmove0002P-number,41,0,3
03AppleiPhone5cVindoorWAstill0002P-number,45,0,2
03AppleiPhone5cVindoorYTmove0002P-number,225,0,3
03AppleiPhone5cVindoorYTstill0002P-number,195,0,2
03AppleiPhone5cVindoormove0002P-number,225,0,3
03AppleiPhone5cVindoorstill0002P-number,225,0,2
03AppleiPhone5cVoutdoorWApanrot0002P-number,33,0,3
03AppleiPhone5cVoutdoorpanrot0002P-number,225,0,1
04AppleiPhone6VflatWAmove0001P-number,45,1,1
04AppleiPhone6VflatWApanrot0001P-number,45,1,1
04AppleiPhone6VflatYTpanrot0001P-number,225,1,1
04AppleiPhone6Vflatmove0001P-number,225,1,1
04AppleiPhone6Vflatpanrot0001P-number,225,1,1
04AppleiPhone6VindoorWAmove0002P-number,39,1,1
04AppleiPhone6VindoorWAstill0001P-number,30,1,1
04AppleiPhone6VindoorYTmove0002P-number,225,1,2
04AppleiPhone6VindoorYTstill0001P-number,210,1,1
04AppleiPhone6Vindoormove0002P-number,225,1,1
04AppleiPhone6Vindoorstill0001P-number,225,1,1
04AppleiPhone6VoutdoorWAmove0002P-number,28,1,1
04AppleiPhone6VoutdoorWAstill0002P-number,45,1,1
04AppleiPhone6VoutdoorYTmove0002P-number,195,1,1
04AppleiPhone6VoutdoorYTstill0002P-number,195,1,1
04AppleiPhone6Voutdoormove0002P-number,225,1,1
04AppleiPhone6Voutdoorstill0002P-number,225,1,1
06AppleiPhone6PlusVflatWApanrot0002P-number,43,2,2
06AppleiPhone6PlusVflatWAstill0002P-number,45,2,2
06AppleiPhone6PlusVflatYTpanrot0002P-number,224,2,2
06AppleiPhone6PlusVflatYTstill0002P-number,225,2,2
06AppleiPhone6PlusVflatpanrot0002P-number,224,2,2
06AppleiPhone6PlusVflatstill0002P-number,224,2,2
06AppleiPhone6PlusVindoorWAmove0001P-number,39,2,3
06AppleiPhone6PlusVindoorWAstill0001P-number,45,2,2
06AppleiPhone6PlusVindoorYTmove0001P-number,225,2,3
06AppleiPhone6PlusVindoorYTstill0001P-number,225,2,2
06AppleiPhone6PlusVindoormove0001P-number,225,2,3
06AppleiPhone6PlusVindoorstill0001P-number,225,2,2
06AppleiPhone6PlusVoutdoorWApanrot0002P-number,38,2,2
06AppleiPhone6PlusVoutdoorWAstill0001P-number,45,2,2
06AppleiPhone6PlusVoutdoorYTpanrot0002P-number,225,2,2
06AppleiPhone6PlusVoutdoorYTstill0001P-number,210,2,2
06AppleiPhone6PlusVoutdoorpanrot0002P-number,225,2,2
06AppleiPhone6PlusVoutdoorstill0001P-number,225,2,2
08AppleiPhone5VflatWAmove0001P-number,45,3,3
08AppleiPhone5VflatWApanrot0002P-number,45,3,3
08AppleiPhone5VflatYTmove0001P-number,225,3,3
08AppleiPhone5VflatYTpanrot0002P-number,225,3,3
08AppleiPhone5Vflatmove0001P-number,225,3,3
08AppleiPhone5Vflatpanrot0002P-number,225,3,3
08AppleiPhone5VindoorWApanrot0002P-number,42,3,3
08AppleiPhone5VindoorWAstill0002P-number,45,3,3
08AppleiPhone5VindoorYTpanrot0002P-number,225,3,3
08AppleiPhone5VindoorYTstill0002P-number,225,3,3
08AppleiPhone5Vindoorpanrot0002P-number,224,3,3
08AppleiPhone5Vindoorstill0002P-number,225,3,3
08AppleiPhone5VoutdoorWApanrot0002P-number,39,3,3
08AppleiPhone5VoutdoorWAstill0002P-number,15,3,2
08AppleiPhone5VoutdoorYTpanrot0002P-number,225,3,3
08AppleiPhone5VoutdoorYTstill0002P-number,210,3,3
08AppleiPhone5Voutdoorpanrot0002P-number,225,3,3
