Video Name,Total Frames,True Label,Mostly predicted label
01SamsungGalaxyS3VflatWAmove0002P-number,30,0,0
01SamsungGalaxyS3VflatWApanrot0002P-number,30,0,0
01SamsungGalaxyS3VflatYTmove0002P-number,150,0,0
01SamsungGalaxyS3VflatYTpanrot0002P-number,149,0,0
01SamsungGalaxyS3Vflatmove0002P-number,150,0,0
01SamsungGalaxyS3Vflatpanrot0002P-number,150,0,0
01SamsungGalaxyS3VindoorWAmove0002P-number,28,0,0
01SamsungGalaxyS3VindoorWAstill0001P-number,30,0,4
01SamsungGalaxyS3VindoorYTmove0002P-number,149,0,0
01SamsungGalaxyS3VindoorYTstill0001P-number,150,0,0
01SamsungGalaxyS3Vindoormove0002P-number,150,0,0
01SamsungGalaxyS3Vindoorstill0001P-number,150,0,0
01SamsungGalaxyS3VoutdoorWAmove0001P-number,28,0,0
01SamsungGalaxyS3VoutdoorWApanrot0002P-number,27,0,0
01SamsungGalaxyS3VoutdoorYTmove0001P-number,150,0,9
01SamsungGalaxyS3VoutdoorYTpanrot0002P-number,150,0,0
01SamsungGalaxyS3Voutdoormove0001P-number,150,0,9
01SamsungGalaxyS3Voutdoorpanrot0002P-number,150,0,0
02HuaweiP9VflatWAmove0002P-number,30,1,1
02HuaweiP9VflatWAstill0001P-number,30,1,1
02HuaweiP9VflatYTmove0002P-number,150,1,1
02HuaweiP9VflatYTstill0001P-number,150,1,1
02HuaweiP9Vflatmove0002P-number,150,1,1
02HuaweiP9Vflatstill0001P-number,150,1,1
02HuaweiP9VindoorWAmove0001P-number,28,1,4
02HuaweiP9VindoorWAmove0002P-number,27,1,4
02HuaweiP9VindoorYTmove0001P-number,149,1,4
02HuaweiP9VindoorYTmove0002P-number,149,1,0
02HuaweiP9Vindoormove0001P-number,150,1,4
02HuaweiP9Vindoormove0002P-number,150,1,1
02HuaweiP9VoutdoorWApanrot0001P-number,28,1,1
02HuaweiP9VoutdoorWAstill0002P-number,25,1,1
02HuaweiP9VoutdoorYTpanrot0001P-number,150,1,1
02HuaweiP9VoutdoorYTstill0002P-number,150,1,1
02HuaweiP9Voutdoorpanrot0001P-number,150,1,1
02HuaweiP9Voutdoorstill0002P-number,150,1,1
03AppleiPhone5cVflatWAmove0002P-number,30,2,2
03AppleiPhone5cVflatWAmove0003P-number,30,2,2
03AppleiPhone5cVflatYTmove0002P-number,149,2,7
03AppleiPhone5cVflatYTmove0003P-number,150,2,2
03AppleiPhone5cVflatmove0002P-number,150,2,2
03AppleiPhone5cVflatmove0003P-number,150,2,2
03AppleiPhone5cVindoorWApanrot0001P-number,27,2,9
03AppleiPhone5cVindoorWApanrot0002P-number,29,2,7
03AppleiPhone5cVindoorYTpanrot0001P-number,150,2,9
03AppleiPhone5cVindoorYTpanrot0002P-number,150,2,7
03AppleiPhone5cVindoorpanrot0001P-number,150,2,2
03AppleiPhone5cVindoorpanrot0002P-number,150,2,7
03AppleiPhone5cVoutdoorWApanrot0001P-number,20,2,6
03AppleiPhone5cVoutdoorpanrot0001P-number,150,2,3
04AppleiPhone6VflatWAmove0001P-number,30,3,3
04AppleiPhone6VflatWApanrot0001P-number,30,3,3
04AppleiPhone6VflatYTpanrot0001P-number,150,3,3
04AppleiPhone6Vflatmove0001P-number,149,3,3
04AppleiPhone6Vflatpanrot0001P-number,150,3,3
04AppleiPhone6VindoorWAmove0002P-number,26,3,3
04AppleiPhone6VindoorWApanrot0001P-number,28,3,0
04AppleiPhone6VindoorYTmove0002P-number,150,3,5
04AppleiPhone6VindoorYTpanrot0001P-number,150,3,5
04AppleiPhone6Vindoormove0002P-number,150,3,3
04AppleiPhone6Vindoorpanrot0001P-number,150,3,0
04AppleiPhone6VoutdoorWAmove0001P-number,26,3,3
04AppleiPhone6VoutdoorWApanrot0001P-number,28,3,3
04AppleiPhone6VoutdoorYTmove0001P-number,150,3,3
04AppleiPhone6VoutdoorYTpanrot0001P-number,150,3,3
04AppleiPhone6Voutdoormove0001P-number,150,3,3
04AppleiPhone6Voutdoorpanrot0001P-number,150,3,3
06AppleiPhone6PlusVflatWAmove0002P-number,30,5,5
06AppleiPhone6PlusVflatWApanrot0001P-number,29,5,5
06AppleiPhone6PlusVflatYTmove0002P-number,150,5,5
06AppleiPhone6PlusVflatYTpanrot0001P-number,150,5,5
06AppleiPhone6PlusVflatmove0002P-number,150,5,5
06AppleiPhone6PlusVflatpanrot0001P-number,148,5,5
06AppleiPhone6PlusVindoorWAmove0001P-number,26,5,7
06AppleiPhone6PlusVindoorWApanrot0002P-number,27,5,8
06AppleiPhone6PlusVindoorYTmove0001P-number,149,5,5
06AppleiPhone6PlusVindoorYTpanrot0002P-number,150,5,5
06AppleiPhone6PlusVindoormove0001P-number,150,5,7
06AppleiPhone6PlusVindoorpanrot0002P-number,149,5,5
06AppleiPhone6PlusVoutdoorWAmove0001P-number,27,5,5
06AppleiPhone6PlusVoutdoorWApanrot0002P-number,25,5,5
06AppleiPhone6PlusVoutdoorYTmove0001P-number,149,5,5
06AppleiPhone6PlusVoutdoorYTpanrot0002P-number,150,5,5
06AppleiPhone6PlusVoutdoormove0001P-number,150,5,5
06AppleiPhone6PlusVoutdoorpanrot0002P-number,150,5,5
07SamsungGalaxyS5VflatWAmove0003P-number,30,6,6
07SamsungGalaxyS5VflatWAstill0002P-number,30,6,6
07SamsungGalaxyS5VflatYTmove0003P-number,150,6,6
07SamsungGalaxyS5VflatYTstill0002P-number,150,6,6
07SamsungGalaxyS5Vflatmove0003P-number,150,6,6
07SamsungGalaxyS5Vflatstill0002P-number,150,6,6
07SamsungGalaxyS5VindoorWApanrot0001P-number,25,6,6
07SamsungGalaxyS5VindoorWApanrot0002P-number,24,6,6
07SamsungGalaxyS5VindoorYTpanrot0001P-number,150,6,6
07SamsungGalaxyS5VindoorYTpanrot0002P-number,149,6,6
07SamsungGalaxyS5Vindoorpanrot0001P-number,150,6,6
07SamsungGalaxyS5Vindoorpanrot0002P-number,149,6,6
07SamsungGalaxyS5VoutdoorWApanrot0002P-number,18,6,6
07SamsungGalaxyS5VoutdoorWAstill0002P-number,12,6,6
07SamsungGalaxyS5VoutdoorYTpanrot0002P-number,150,6,6
07SamsungGalaxyS5VoutdoorYTstill0002P-number,150,6,6
07SamsungGalaxyS5Voutdoorpanrot0002P-number,149,6,6
07SamsungGalaxyS5Voutdoorstill0002P-number,150,6,6
08AppleiPhone5VflatWAmove0003P-number,30,7,7
08AppleiPhone5VflatWAstill0001P-number,30,7,7
08AppleiPhone5VflatYTmove0003P-number,150,7,7
08AppleiPhone5VflatYTstill0001P-number,150,7,7
08AppleiPhone5Vflatmove0003P-number,149,7,7
08AppleiPhone5Vflatstill0001P-number,150,7,7
08AppleiPhone5VindoorWAmove0002P-number,26,7,7
08AppleiPhone5VindoorWAstill0002P-number,30,7,7
08AppleiPhone5VindoorYTmove0002P-number,150,7,7
08AppleiPhone5VindoorYTstill0002P-number,150,7,7
08AppleiPhone5Vindoormove0002P-number,150,7,7
08AppleiPhone5Vindoorstill0002P-number,150,7,7
08AppleiPhone5VoutdoorWAmove0002P-number,25,7,9
08AppleiPhone5VoutdoorWAstill0002P-number,10,7,5
08AppleiPhone5VoutdoorYTmove0002P-number,150,7,9
08AppleiPhone5VoutdoorYTstill0002P-number,150,7,5
08AppleiPhone5Voutdoormove0002P-number,150,7,5
08AppleiPhone5Voutdoorstill0002P-number,150,7,5
09HuaweiP8VflatWAmove0002P-number,30,8,8
09HuaweiP8VflatWAstill0001P-number,29,8,7
09HuaweiP8VflatYTmove0002P-number,148,8,8
09HuaweiP8VflatYTstill0001P-number,150,8,7
09HuaweiP8Vflatmove0002P-number,150,8,8
09HuaweiP8Vflatstill0001P-number,150,8,7
09HuaweiP8VindoorWAstill0001P-number,30,8,8
09HuaweiP8VindoorWAstill0002P-number,25,8,1
09HuaweiP8VindoorYTstill0001P-number,150,8,8
09HuaweiP8VindoorYTstill0002P-number,150,8,8
09HuaweiP8Vindoorstill0001P-number,150,8,8
09HuaweiP8Vindoorstill0002P-number,150,8,8
09HuaweiP8VoutdoorWAmove0002P-number,25,8,8
09HuaweiP8VoutdoorWApanrot0001P-number,25,8,8
09HuaweiP8VoutdoorYTmove0002P-number,150,8,8
09HuaweiP8VoutdoorYTpanrot0001P-number,150,8,8
09HuaweiP8Voutdoormove0002P-number,150,8,8
09HuaweiP8Voutdoorpanrot0001P-number,150,8,8
10SamsungGalaxyS4MiniVflatWAmove0001P-number,27,9,9
10SamsungGalaxyS4MiniVflatWAstill0001P-number,20,9,9
10SamsungGalaxyS4MiniVflatYTmove0001P-number,150,9,9
10SamsungGalaxyS4MiniVflatYTstill0001P-number,150,9,9
10SamsungGalaxyS4MiniVflatmove0001P-number,150,9,9
10SamsungGalaxyS4MiniVflatstill0001P-number,150,9,9
10SamsungGalaxyS4MiniVindoorWApanrot0001P-number,30,9,9
10SamsungGalaxyS4MiniVindoorWAstill0002P-number,20,9,9
10SamsungGalaxyS4MiniVindoorYTpanrot0001P-number,150,9,9
10SamsungGalaxyS4MiniVindoorYTstill0002P-number,150,9,9
10SamsungGalaxyS4MiniVindoorpanrot0001P-number,150,9,9
10SamsungGalaxyS4MiniVindoorstill0002P-number,150,9,9
10SamsungGalaxyS4MiniVoutdoorWAmove0002P-number,26,9,9
10SamsungGalaxyS4MiniVoutdoorWApanrot0002P-number,24,9,9
10SamsungGalaxyS4MiniVoutdoorYTmove0002P-number,150,9,9
10SamsungGalaxyS4MiniVoutdoorYTpanrot0002P-number,149,9,9
10SamsungGalaxyS4MiniVoutdoormove0002P-number,150,9,9
