Video Name,Total Frames,True Label,Mostly predicted label
01SamsungGalaxyS3VflatWApanrot0002P-number,44,0,0
01SamsungGalaxyS3VflatWAstill0002P-number,45,0,0
01SamsungGalaxyS3VflatYTpanrot0002P-number,225,0,0
01SamsungGalaxyS3VflatYTstill0002P-number,225,0,0
01SamsungGalaxyS3Vflatpanrot0002P-number,225,0,0
01SamsungGalaxyS3Vflatstill0002P-number,225,0,0
01SamsungGalaxyS3VindoorWAmove0001P-number,21,0,3
01SamsungGalaxyS3VindoorWAmove0002P-number,25,0,5
01SamsungGalaxyS3VindoorYTmove0001P-number,225,0,8
01SamsungGalaxyS3VindoorYTmove0002P-number,225,0,3
01SamsungGalaxyS3Vindoormove0001P-number,225,0,3
01SamsungGalaxyS3Vindoormove0002P-number,225,0,3
01SamsungGalaxyS3VoutdoorWAstill0002P-number,23,0,0
01SamsungGalaxyS3VoutdoorYTstill0001P-number,210,0,0
01SamsungGalaxyS3VoutdoorYTstill0002P-number,199,0,0
01SamsungGalaxyS3Voutdoorstill0001P-number,225,0,0
01SamsungGalaxyS3Voutdoorstill0002P-number,217,0,0
02HuaweiP9VflatWAmove0002P-number,43,1,1
02HuaweiP9VflatWAmove0003P-number,45,1,1
02HuaweiP9VflatYTmove0002P-number,225,1,1
02HuaweiP9VflatYTmove0003P-number,225,1,1
02HuaweiP9Vflatmove0002P-number,225,1,1
02HuaweiP9Vflatmove0003P-number,225,1,1
02HuaweiP9VindoorWApanrot0001P-number,4,1,1
02HuaweiP9VindoorWApanrot0002P-number,13,1,1
02HuaweiP9VindoorYTpanrot0001P-number,206,1,1
02HuaweiP9VindoorYTpanrot0002P-number,203,1,1
02HuaweiP9Vindoorpanrot0001P-number,218,1,1
02HuaweiP9Vindoorpanrot0002P-number,218,1,1
02HuaweiP9VoutdoorWApanrot0001P-number,15,1,4
02HuaweiP9VoutdoorWApanrot0002P-number,10,1,1
02HuaweiP9VoutdoorYTpanrot0001P-number,210,1,4
02HuaweiP9VoutdoorYTpanrot0002P-number,207,1,1
02HuaweiP9Voutdoorpanrot0001P-number,221,1,1
02HuaweiP9Voutdoorpanrot0002P-number,225,1,1
03AppleiPhone5cVflatWAmove0002P-number,45,2,2
03AppleiPhone5cVflatWAmove0003P-number,42,2,2
03AppleiPhone5cVflatYTmove0002P-number,225,2,7
03AppleiPhone5cVflatYTmove0003P-number,225,2,2
03AppleiPhone5cVflatmove0002P-number,225,2,7
03AppleiPhone5cVflatmove0003P-number,225,2,2
03AppleiPhone5cVindoorWApanrot0001P-number,16,2,9
03AppleiPhone5cVindoorWApanrot0002P-number,32,2,2
03AppleiPhone5cVindoorYTpanrot0001P-number,225,2,9
03AppleiPhone5cVindoorYTpanrot0002P-number,225,2,7
03AppleiPhone5cVindoorpanrot0001P-number,222,2,2
03AppleiPhone5cVindoorpanrot0002P-number,225,2,7
03AppleiPhone5cVoutdoorWApanrot0001P-number,12,2,8
03AppleiPhone5cVoutdoorpanrot0001P-number,225,2,3
04AppleiPhone6VflatWApanrot0001P-number,44,3,3
04AppleiPhone6VflatWAstill0001P-number,45,3,3
04AppleiPhone6VflatYTpanrot0001P-number,225,3,3
04AppleiPhone6VflatYTstill0001P-number,225,3,3
04AppleiPhone6Vflatpanrot0001P-number,225,3,3
04AppleiPhone6Vflatstill0001P-number,225,3,3
04AppleiPhone6VindoorWAmove0001P-number,25,3,3
04AppleiPhone6VindoorWApanrot0002P-number,16,3,3
04AppleiPhone6VindoorYTpanrot0002P-number,225,3,7
04AppleiPhone6Vindoormove0001P-number,225,3,3
04AppleiPhone6Vindoorpanrot0002P-number,225,3,3
04AppleiPhone6VoutdoorWApanrot0001P-number,16,3,3
04AppleiPhone6VoutdoorWApanrot0002P-number,18,3,3
04AppleiPhone6VoutdoorYTpanrot0001P-number,210,3,3
04AppleiPhone6VoutdoorYTpanrot0002P-number,223,3,3
04AppleiPhone6Voutdoorpanrot0001P-number,220,3,3
04AppleiPhone6Voutdoorpanrot0002P-number,225,3,3
05HuaweiP9LiteVflatWAstill0001P-number,45,4,4
05HuaweiP9LiteVflatWAstill0002P-number,45,4,4
05HuaweiP9LiteVflatYTstill0001P-number,225,4,4
05HuaweiP9LiteVflatYTstill0002P-number,225,4,4
05HuaweiP9LiteVflatstill0001P-number,225,4,4
05HuaweiP9LiteVflatstill0002P-number,225,4,4
05HuaweiP9LiteVindoorWApanrot0001P-number,9,4,4
05HuaweiP9LiteVindoorYTpanrot0001P-number,210,4,4
05HuaweiP9LiteVindoorYTstill0002P-number,194,4,1
05HuaweiP9LiteVindoorpanrot0001P-number,222,4,4
05HuaweiP9LiteVindoorstill0002P-number,223,4,1
05HuaweiP9LiteVoutdoorWAmove0001P-number,21,4,0
05HuaweiP9LiteVoutdoorWAmove0002P-number,12,4,1
05HuaweiP9LiteVoutdoorYTmove0001P-number,225,4,4
05HuaweiP9LiteVoutdoorYTmove0002P-number,192,4,8
05HuaweiP9LiteVoutdoormove0001P-number,225,4,4
05HuaweiP9LiteVoutdoormove0002P-number,225,4,4
06AppleiPhone6PlusVflatWAmove0002P-number,45,5,5
06AppleiPhone6PlusVflatWApanrot0001P-number,42,5,5
06AppleiPhone6PlusVflatYTmove0002P-number,225,5,5
06AppleiPhone6PlusVflatYTpanrot0001P-number,225,5,5
06AppleiPhone6PlusVflatmove0002P-number,225,5,5
06AppleiPhone6PlusVflatpanrot0001P-number,225,5,5
06AppleiPhone6PlusVindoorWAmove0001P-number,19,5,9
06AppleiPhone6PlusVindoorWApanrot0002P-number,22,5,5
06AppleiPhone6PlusVindoorYTmove0001P-number,225,5,5
06AppleiPhone6PlusVindoorYTpanrot0002P-number,225,5,5
06AppleiPhone6PlusVindoormove0001P-number,225,5,5
06AppleiPhone6PlusVindoorpanrot0002P-number,225,5,5
06AppleiPhone6PlusVoutdoorWAmove0001P-number,20,5,5
06AppleiPhone6PlusVoutdoorWApanrot0002P-number,15,5,5
06AppleiPhone6PlusVoutdoorYTmove0001P-number,225,5,5
06AppleiPhone6PlusVoutdoorYTpanrot0002P-number,225,5,5
06AppleiPhone6PlusVoutdoormove0001P-number,225,5,5
06AppleiPhone6PlusVoutdoorpanrot0002P-number,225,5,5
07SamsungGalaxyS5VflatWAmove0002P-number,45,6,6
07SamsungGalaxyS5VflatWApanrot0001P-number,45,6,6
07SamsungGalaxyS5VflatYTmove0002P-number,225,6,6
07SamsungGalaxyS5VflatYTpanrot0001P-number,225,6,6
07SamsungGalaxyS5Vflatmove0002P-number,225,6,6
07SamsungGalaxyS5Vflatpanrot0001P-number,225,6,6
07SamsungGalaxyS5VindoorWAmove0002P-number,16,6,6
07SamsungGalaxyS5VindoorWApanrot0002P-number,14,6,6
07SamsungGalaxyS5VindoorYTmove0002P-number,225,6,6
07SamsungGalaxyS5VindoorYTpanrot0002P-number,215,6,6
07SamsungGalaxyS5Vindoormove0002P-number,224,6,6
07SamsungGalaxyS5Vindoorpanrot0002P-number,217,6,6
07SamsungGalaxyS5VoutdoorWAmove0002P-number,19,6,6
07SamsungGalaxyS5VoutdoorYTmove0002P-number,224,6,6
07SamsungGalaxyS5VoutdoorYTstill0002P-number,210,6,6
07SamsungGalaxyS5Voutdoormove0002P-number,225,6,6
07SamsungGalaxyS5Voutdoorstill0002P-number,225,6,6
08AppleiPhone5VflatWAmove0002P-number,45,7,2
08AppleiPhone5VflatWApanrot0001P-number,45,7,2
08AppleiPhone5VflatYTmove0002P-number,225,7,7
08AppleiPhone5VflatYTpanrot0001P-number,225,7,7
08AppleiPhone5Vflatmove0002P-number,225,7,7
08AppleiPhone5Vflatpanrot0001P-number,225,7,7
08AppleiPhone5VindoorWAstill0001P-number,32,7,7
08AppleiPhone5VindoorWAstill0002P-number,30,7,7
08AppleiPhone5VindoorYTstill0001P-number,225,7,7
08AppleiPhone5VindoorYTstill0002P-number,225,7,7
08AppleiPhone5Vindoorstill0001P-number,225,7,7
08AppleiPhone5Vindoorstill0002P-number,225,7,7
08AppleiPhone5VoutdoorWAmove0002P-number,15,7,9
08AppleiPhone5VoutdoorWApanrot0002P-number,13,7,7
08AppleiPhone5VoutdoorYTmove0002P-number,225,7,5
08AppleiPhone5VoutdoorYTpanrot0002P-number,225,7,7
08AppleiPhone5Voutdoormove0002P-number,225,7,5
08AppleiPhone5Voutdoorpanrot0002P-number,225,7,7
09HuaweiP8VflatWAmove0003P-number,30,8,8
09HuaweiP8VflatWApanrot0002P-number,28,8,8
09HuaweiP8VflatYTmove0003P-number,210,8,8
09HuaweiP8VflatYTpanrot0002P-number,225,8,8
09HuaweiP8Vflatmove0003P-number,224,8,8
09HuaweiP8Vflatpanrot0002P-number,224,8,8
09HuaweiP8VindoorWApanrot0001P-number,16,8,8
09HuaweiP8VindoorWAstill0002P-number,4,8,1
09HuaweiP8VindoorYTpanrot0001P-number,221,8,8
09HuaweiP8VindoorYTstill0002P-number,195,8,8
