Video Name,Total Frames,True Label,Mostly predicted label
01SamsungGalaxyS3VflatYTpanrot0002P-number,89,0,0
01SamsungGalaxyS3VflatYTstill0002P-number,78,0,0
01SamsungGalaxyS3Vflatpanrot0002P-number,86,0,0
01SamsungGalaxyS3Vflatstill0002P-number,77,0,0
01SamsungGalaxyS3VindoorYTmove0001P-number,54,0,0
01SamsungGalaxyS3VindoorYTmove0002P-number,58,0,5
01SamsungGalaxyS3Vindoormove0001P-number,49,0,3
01SamsungGalaxyS3Vindoormove0002P-number,54,0,3
01SamsungGalaxyS3VoutdoorYTstill0001P-number,14,0,0
01SamsungGalaxyS3VoutdoorYTstill0002P-number,41,0,0
01SamsungGalaxyS3Voutdoorstill0001P-number,16,0,0
01SamsungGalaxyS3Voutdoorstill0002P-number,42,0,0
02HuaweiP9VflatYTmove0002P-number,90,1,1
02HuaweiP9VflatYTmove0003P-number,90,1,1
02HuaweiP9Vflatmove0002P-number,87,1,1
02HuaweiP9Vflatmove0003P-number,90,1,1
02HuaweiP9VindoorYTpanrot0001P-number,34,1,8
02HuaweiP9VindoorYTpanrot0002P-number,35,1,4
02HuaweiP9Vindoorpanrot0001P-number,34,1,8
02HuaweiP9Vindoorpanrot0002P-number,36,1,1
02HuaweiP9VoutdoorYTpanrot0001P-number,40,1,8
02HuaweiP9VoutdoorYTpanrot0002P-number,39,1,4
02HuaweiP9Voutdoorpanrot0001P-number,46,1,8
02HuaweiP9Voutdoorpanrot0002P-number,46,1,1
03AppleiPhone5cVflatYTmove0002P-number,90,2,2
03AppleiPhone5cVflatYTmove0003P-number,85,2,2
03AppleiPhone5cVflatmove0002P-number,89,2,2
03AppleiPhone5cVflatmove0003P-number,87,2,2
03AppleiPhone5cVindoorYTpanrot0001P-number,57,2,7
03AppleiPhone5cVindoorYTpanrot0002P-number,73,2,2
03AppleiPhone5cVindoorpanrot0001P-number,48,2,7
03AppleiPhone5cVindoorpanrot0002P-number,63,2,2
03AppleiPhone5cVoutdoorpanrot0001P-number,38,2,8
04AppleiPhone6VflatYTpanrot0001P-number,89,3,3
04AppleiPhone6VflatYTstill0001P-number,90,3,3
