Video Name,Total Frames,True Label,Mostly predicted label
01SamsungGalaxyS3VflatWAmove0001P-number,33,0,0
01SamsungGalaxyS3VflatWApanrot0001P-number,33,0,0
01SamsungGalaxyS3VflatYTmove0001P-number,308,0,0
01SamsungGalaxyS3VflatYTpanrot0001P-number,307,0,0
01SamsungGalaxyS3Vflatmove0001P-number,308,0,0
01SamsungGalaxyS3Vflatpanrot0001P-number,307,0,0
01SamsungGalaxyS3VindoorWAmove0001P-number,33,0,0
01SamsungGalaxyS3VindoorWAstill0001P-number,33,0,4
01SamsungGalaxyS3VindoorYTmove0001P-number,308,0,0
01SamsungGalaxyS3VindoorYTstill0001P-number,308,0,8
01SamsungGalaxyS3Vindoormove0001P-number,306,0,0
01SamsungGalaxyS3Vindoorstill0001P-number,308,0,8
01SamsungGalaxyS3VoutdoorWAmove0002P-number,33,0,0
01SamsungGalaxyS3VoutdoorWAstill0001P-number,33,0,1
01SamsungGalaxyS3VoutdoorYTmove0002P-number,307,0,0
01SamsungGalaxyS3VoutdoorYTstill0001P-number,307,0,0
01SamsungGalaxyS3Voutdoormove0002P-number,308,0,0
01SamsungGalaxyS3Voutdoorstill0001P-number,307,0,0
02HuaweiP9VflatWAmove0003P-number,33,1,1
02HuaweiP9VflatWAstill0001P-number,33,1,1
02HuaweiP9VflatYTmove0003P-number,308,1,1
02HuaweiP9VflatYTstill0001P-number,308,1,1
02HuaweiP9Vflatmove0003P-number,308,1,1
02HuaweiP9Vflatstill0001P-number,308,1,1
02HuaweiP9VindoorWAmove0001P-number,33,1,3
02HuaweiP9VindoorWAmove0002P-number,33,1,1
02HuaweiP9VindoorYTmove0001P-number,308,1,6
02HuaweiP9VindoorYTmove0002P-number,308,1,1
02HuaweiP9Vindoormove0001P-number,308,1,8
02HuaweiP9Vindoormove0002P-number,308,1,4
02HuaweiP9VoutdoorWApanrot0001P-number,33,1,4
02HuaweiP9VoutdoorWAstill0002P-number,33,1,4
02HuaweiP9VoutdoorYTpanrot0001P-number,308,1,1
02HuaweiP9VoutdoorYTstill0002P-number,308,1,1
02HuaweiP9Voutdoorpanrot0001P-number,308,1,1
02HuaweiP9Voutdoorstill0002P-number,307,1,1
03AppleiPhone5cVflatWAmove0002P-number,33,2,2
03AppleiPhone5cVflatWAstill0002P-number,33,2,2
03AppleiPhone5cVflatYTmove0002P-number,308,2,2
03AppleiPhone5cVflatYTstill0002P-number,308,2,2
03AppleiPhone5cVflatmove0002P-number,308,2,2
03AppleiPhone5cVflatstill0002P-number,308,2,2
03AppleiPhone5cVindoorWAmove0002P-number,33,2,7
03AppleiPhone5cVindoorWAstill0002P-number,32,2,5
03AppleiPhone5cVindoorYTmove0002P-number,307,2,7
03AppleiPhone5cVindoorYTstill0002P-number,306,2,5
03AppleiPhone5cVindoormove0002P-number,308,2,7
03AppleiPhone5cVindoorstill0002P-number,308,2,5
03AppleiPhone5cVoutdoorWApanrot0001P-number,33,2,2
03AppleiPhone5cVoutdoorpanrot0001P-number,308,2,2
04AppleiPhone6VflatWApanrot0001P-number,33,3,3
04AppleiPhone6VflatWApanrot0002P-number,33,3,3
04AppleiPhone6VflatYTpanrot0001P-number,307,3,3
04AppleiPhone6VflatYTpanrot0002P-number,308,3,3
04AppleiPhone6Vflatpanrot0001P-number,308,3,3
04AppleiPhone6Vflatpanrot0002P-number,308,3,3
04AppleiPhone6VindoorWAmove0002P-number,33,3,8
04AppleiPhone6VindoorWAstill0002P-number,33,3,3
04AppleiPhone6VindoorYTmove0002P-number,307,3,4
04AppleiPhone6VindoorYTstill0002P-number,308,3,3
04AppleiPhone6Vindoormove0002P-number,308,3,4
04AppleiPhone6Vindoorstill0002P-number,308,3,3
04AppleiPhone6VoutdoorWApanrot0001P-number,33,3,3
04AppleiPhone6VoutdoorWApanrot0002P-number,33,3,3
04AppleiPhone6VoutdoorYTpanrot0001P-number,308,3,3
04AppleiPhone6VoutdoorYTpanrot0002P-number,308,3,3
04AppleiPhone6Voutdoorpanrot0001P-number,308,3,3
04AppleiPhone6Voutdoorpanrot0002P-number,307,3,3
05HuaweiP9LiteVflatWAmove0003P-number,33,4,4
05HuaweiP9LiteVflatWApanrot0002P-number,33,4,4
05HuaweiP9LiteVflatYTmove0003P-number,308,4,4
05HuaweiP9LiteVflatYTpanrot0002P-number,307,4,4
05HuaweiP9LiteVflatmove0003P-number,308,4,4
05HuaweiP9LiteVflatpanrot0002P-number,308,4,4
05HuaweiP9LiteVindoorWAmove0001P-number,33,4,4
05HuaweiP9LiteVindoorWAstill0001P-number,33,4,1
05HuaweiP9LiteVindoorYTmove0001P-number,308,4,6
05HuaweiP9LiteVindoorYTstill0001P-number,308,4,1
05HuaweiP9LiteVindoormove0001P-number,308,4,4
05HuaweiP9LiteVindoorstill0001P-number,308,4,1
05HuaweiP9LiteVoutdoorWAmove0001P-number,33,4,1
05HuaweiP9LiteVoutdoorWAstill0001P-number,33,4,1
05HuaweiP9LiteVoutdoorYTmove0001P-number,308,4,1
05HuaweiP9LiteVoutdoorYTstill0001P-number,308,4,4
05HuaweiP9LiteVoutdoormove0001P-number,308,4,1
05HuaweiP9LiteVoutdoorstill0001P-number,308,4,4
06AppleiPhone6PlusVflatWAmove0002P-number,33,5,5
06AppleiPhone6PlusVflatWAstill0002P-number,33,5,5
06AppleiPhone6PlusVflatYTmove0002P-number,308,5,5
06AppleiPhone6PlusVflatYTstill0002P-number,307,5,5
06AppleiPhone6PlusVflatmove0002P-number,308,5,5
06AppleiPhone6PlusVflatstill0002P-number,307,5,5
06AppleiPhone6PlusVindoorWAmove0001P-number,33,5,5
06AppleiPhone6PlusVindoorWAmove0002P-number,33,5,5
06AppleiPhone6PlusVindoorYTmove0001P-number,307,5,5
06AppleiPhone6PlusVindoorYTmove0002P-number,308,5,6
06AppleiPhone6PlusVindoormove0001P-number,308,5,5
06AppleiPhone6PlusVindoormove0002P-number,308,5,9
06AppleiPhone6PlusVoutdoorWAmove0002P-number,33,5,7
06AppleiPhone6PlusVoutdoorWApanrot0001P-number,33,5,5
06AppleiPhone6PlusVoutdoorYTmove0002P-number,308,5,7
06AppleiPhone6PlusVoutdoorYTpanrot0001P-number,308,5,5
06AppleiPhone6PlusVoutdoormove0002P-number,308,5,7
06AppleiPhone6PlusVoutdoorpanrot0001P-number,308,5,5
07SamsungGalaxyS5VflatWAmove0003P-number,33,6,6
07SamsungGalaxyS5VflatWAstill0002P-number,33,6,6
07SamsungGalaxyS5VflatYTmove0003P-number,307,6,6
07SamsungGalaxyS5VflatYTstill0002P-number,308,6,6
07SamsungGalaxyS5Vflatmove0003P-number,308,6,6
07SamsungGalaxyS5Vflatstill0002P-number,307,6,6
07SamsungGalaxyS5VindoorWApanrot0001P-number,33,6,6
07SamsungGalaxyS5VindoorWAstill0001P-number,33,6,6
07SamsungGalaxyS5VindoorYTpanrot0001P-number,308,6,6
07SamsungGalaxyS5VindoorYTstill0001P-number,307,6,6
07SamsungGalaxyS5Vindoorpanrot0001P-number,308,6,6
07SamsungGalaxyS5Vindoorstill0001P-number,307,6,6
