Device,TPR,FPR,ACC,PPV,recall,F1
01SamsungGalaxyS3,0.5707214924804873,0.020342352291551628,0.9371437618746041,0.7649910691502935,0.5707214924804873,0.6537287396423899
02HuaweiP9,0.7850717703349283,0.04368364125996071,0.9386082963901203,0.6745601052458478,0.7850717703349283,0.7256324075712012
03AppleiPhone5c,0.4241580146872626,0.018699413898967347,0.9377572830905636,0.6578947368421053,0.4241580146872626,0.5157813702848345
04AppleiPhone6,0.780960404380792,0.017889908256880735,0.9632085180493983,0.8190854870775348,0.780960404380792,0.7995687331536389
05HuaweiP9Lite,0.5066972828166858,0.09045958235839477,0.8678752374920836,0.39252890601838125,0.5066972828166858,0.44236551954560643
06AppleiPhone6Plus,0.544490723210905,0.05171727887548071,0.9060718809373021,0.5513803680981595,0.544490723210905,0.5479138883596876
07SamsungGalaxyS5,0.9702989771833203,0.01637179825719567,0.9822870487650411,0.8689448652457283,0.9702989771833203,0.9168292909580894
08AppleiPhone5,0.6484286255206361,0.04977235556734297,0.9186787523749208,0.6033116082437907,0.6484286255206361,0.6250570307509808
09HuaweiP8,0.7300590138968208,0.03946990612921038,0.9365698226725776,0.6821415866239773,0.7300590138968208,0.705287356321839
10SamsungGalaxyS4Mini,0.787217757367011,0.008895854487660589,0.9700166244458518,0.9107814921408014,0.787217757367011,0.8445037462793801
Total,0.6791086130462318,0.03565459855041869,0.9358217226092463,0.6791086130462318,0.6791086130462318,0.6791086130462318
