Video Name,Total Frames,True Label,Mostly predicted label
01SamsungGalaxyS3VflatWAmove0001P-number,45,0,0
01SamsungGalaxyS3VflatWApanrot0001P-number,45,0,0
01SamsungGalaxyS3VflatYTmove0001P-number,420,0,0
01SamsungGalaxyS3VflatYTpanrot0001P-number,420,0,0
01SamsungGalaxyS3Vflatmove0001P-number,420,0,0
01SamsungGalaxyS3Vflatpanrot0001P-number,420,0,0
01SamsungGalaxyS3VindoorWAmove0001P-number,45,0,3
01SamsungGalaxyS3VindoorWApanrot0001P-number,45,0,0
01SamsungGalaxyS3VindoorYTmove0001P-number,419,0,3
01SamsungGalaxyS3VindoorYTpanrot0001P-number,420,0,0
01SamsungGalaxyS3Vindoormove0001P-number,420,0,3
01SamsungGalaxyS3Vindoorpanrot0001P-number,420,0,0
01SamsungGalaxyS3VoutdoorWApanrot0002P-number,45,0,0
01SamsungGalaxyS3VoutdoorWAstill0002P-number,45,0,1
01SamsungGalaxyS3VoutdoorYTpanrot0002P-number,392,0,0
01SamsungGalaxyS3VoutdoorYTstill0002P-number,392,0,4
01SamsungGalaxyS3Voutdoorpanrot0002P-number,420,0,0
01SamsungGalaxyS3Voutdoorstill0002P-number,420,0,4
02HuaweiP9VflatWAmove0001P-number,45,1,1
02HuaweiP9VflatWAstill0001P-number,45,1,1
02HuaweiP9VflatYTmove0001P-number,420,1,1
02HuaweiP9VflatYTstill0001P-number,420,1,1
02HuaweiP9Vflatmove0001P-number,420,1,1
02HuaweiP9Vflatstill0001P-number,419,1,1
02HuaweiP9VindoorWApanrot0002P-number,45,1,1
02HuaweiP9VindoorWAstill0002P-number,45,1,4
02HuaweiP9VindoorYTpanrot0002P-number,392,1,1
02HuaweiP9VindoorYTstill0002P-number,392,1,1
02HuaweiP9Vindoorpanrot0002P-number,420,1,1
02HuaweiP9Vindoorstill0002P-number,420,1,1
02HuaweiP9VoutdoorWAmove0001P-number,45,1,1
02HuaweiP9VoutdoorWApanrot0002P-number,45,1,1
02HuaweiP9VoutdoorYTmove0001P-number,420,1,1
02HuaweiP9VoutdoorYTpanrot0002P-number,392,1,1
02HuaweiP9Voutdoormove0001P-number,420,1,1
02HuaweiP9Voutdoorpanrot0002P-number,420,1,1
03AppleiPhone5cVflatWAmove0002P-number,45,2,2
03AppleiPhone5cVflatWApanrot0001P-number,45,2,2
03AppleiPhone5cVflatYTmove0002P-number,420,2,2
03AppleiPhone5cVflatYTpanrot0001P-number,420,2,2
03AppleiPhone5cVflatmove0002P-number,420,2,2
03AppleiPhone5cVflatpanrot0001P-number,420,2,2
03AppleiPhone5cVindoorWAmove0002P-number,45,2,7
03AppleiPhone5cVindoorWAstill0002P-number,45,2,2
03AppleiPhone5cVindoorYTmove0002P-number,420,2,7
03AppleiPhone5cVindoorYTstill0002P-number,364,2,7
03AppleiPhone5cVindoormove0002P-number,420,2,7
03AppleiPhone5cVindoorstill0002P-number,420,2,5
03AppleiPhone5cVoutdoorWApanrot0002P-number,45,2,6
03AppleiPhone5cVoutdoorpanrot0002P-number,420,2,0
04AppleiPhone6VflatWAmove0001P-number,45,3,3
04AppleiPhone6VflatWApanrot0001P-number,45,3,3
04AppleiPhone6VflatYTpanrot0001P-number,420,3,3
04AppleiPhone6Vflatmove0001P-number,420,3,3
04AppleiPhone6Vflatpanrot0001P-number,420,3,3
04AppleiPhone6VindoorWAmove0002P-number,45,3,6
04AppleiPhone6VindoorWAstill0001P-number,45,3,3
04AppleiPhone6VindoorYTmove0002P-number,419,3,5
04AppleiPhone6VindoorYTstill0001P-number,392,3,3
04AppleiPhone6Vindoormove0002P-number,420,3,3
04AppleiPhone6Vindoorstill0001P-number,419,3,3
04AppleiPhone6VoutdoorWAmove0002P-number,45,3,3
04AppleiPhone6VoutdoorWAstill0002P-number,45,3,3
04AppleiPhone6VoutdoorYTmove0002P-number,364,3,3
04AppleiPhone6VoutdoorYTstill0002P-number,364,3,3
04AppleiPhone6Voutdoormove0002P-number,420,3,3
04AppleiPhone6Voutdoorstill0002P-number,420,3,3
05HuaweiP9LiteVflatWAmove0003P-number,45,4,4
05HuaweiP9LiteVflatWAstill0001P-number,45,4,4
05HuaweiP9LiteVflatYTmove0003P-number,420,4,4
05HuaweiP9LiteVflatYTstill0001P-number,420,4,4
05HuaweiP9LiteVflatmove0003P-number,420,4,4
05HuaweiP9LiteVflatstill0001P-number,420,4,4
05HuaweiP9LiteVindoorWAmove0001P-number,45,4,0
05HuaweiP9LiteVindoorWAstill0001P-number,45,4,1
05HuaweiP9LiteVindoorYTmove0001P-number,420,4,1
05HuaweiP9LiteVindoorYTstill0001P-number,392,4,1
05HuaweiP9LiteVindoormove0001P-number,420,4,4
05HuaweiP9LiteVindoorstill0001P-number,420,4,1
05HuaweiP9LiteVoutdoorWApanrot0001P-number,45,4,1
05HuaweiP9LiteVoutdoorWAstill0001P-number,45,4,1
05HuaweiP9LiteVoutdoorYTpanrot0001P-number,392,4,1
05HuaweiP9LiteVoutdoorYTstill0001P-number,392,4,8
05HuaweiP9LiteVoutdoorpanrot0001P-number,420,4,8
05HuaweiP9LiteVoutdoorstill0001P-number,420,4,8
06AppleiPhone6PlusVflatWApanrot0001P-number,45,5,4
06AppleiPhone6PlusVflatWApanrot0002P-number,45,5,4
06AppleiPhone6PlusVflatYTpanrot0001P-number,420,5,4
06AppleiPhone6PlusVflatYTpanrot0002P-number,420,5,4
06AppleiPhone6PlusVflatpanrot0001P-number,420,5,4
06AppleiPhone6PlusVflatpanrot0002P-number,420,5,4
06AppleiPhone6PlusVindoorWAstill0001P-number,45,5,5
06AppleiPhone6PlusVindoorWAstill0002P-number,45,5,7
06AppleiPhone6PlusVindoorYTstill0001P-number,420,5,5
06AppleiPhone6PlusVindoorYTstill0002P-number,420,5,5
06AppleiPhone6PlusVindoorstill0001P-number,420,5,5
06AppleiPhone6PlusVindoorstill0002P-number,420,5,5
06AppleiPhone6PlusVoutdoorWApanrot0002P-number,45,5,5
06AppleiPhone6PlusVoutdoorWAstill0001P-number,45,5,5
06AppleiPhone6PlusVoutdoorYTpanrot0002P-number,420,5,5
06AppleiPhone6PlusVoutdoorYTstill0001P-number,392,5,5
06AppleiPhone6PlusVoutdoorpanrot0002P-number,420,5,5
06AppleiPhone6PlusVoutdoorstill0001P-number,420,5,5
07SamsungGalaxyS5VflatWApanrot0001P-number,45,6,6
07SamsungGalaxyS5VflatWApanrot0002P-number,45,6,6
07SamsungGalaxyS5VflatYTpanrot0001P-number,420,6,6
07SamsungGalaxyS5VflatYTpanrot0002P-number,251,6,6
07SamsungGalaxyS5Vflatpanrot0001P-number,420,6,6
07SamsungGalaxyS5Vflatpanrot0002P-number,420,6,6
07SamsungGalaxyS5VindoorWAstill0001P-number,45,6,6
07SamsungGalaxyS5VindoorWAstill0002P-number,45,6,6
07SamsungGalaxyS5VindoorYTstill0001P-number,420,6,6
07SamsungGalaxyS5VindoorYTstill0002P-number,392,6,6
07SamsungGalaxyS5Vindoorstill0001P-number,420,6,6
07SamsungGalaxyS5Vindoorstill0002P-number,420,6,6
07SamsungGalaxyS5VoutdoorWAmove0002P-number,45,6,6
07SamsungGalaxyS5VoutdoorWApanrot0002P-number,45,6,6
07SamsungGalaxyS5VoutdoorYTmove0002P-number,419,6,6
07SamsungGalaxyS5VoutdoorYTpanrot0002P-number,392,6,6
07SamsungGalaxyS5Voutdoormove0002P-number,420,6,6
07SamsungGalaxyS5Voutdoorpanrot0002P-number,420,6,6
08AppleiPhone5VflatWAmove0001P-number,45,7,2
08AppleiPhone5VflatWApanrot0002P-number,45,7,7
08AppleiPhone5VflatYTmove0001P-number,420,7,7
08AppleiPhone5VflatYTpanrot0002P-number,420,7,7
08AppleiPhone5Vflatmove0001P-number,420,7,7
08AppleiPhone5Vflatpanrot0002P-number,420,7,7
08AppleiPhone5VindoorWApanrot0002P-number,45,7,2
08AppleiPhone5VindoorWAstill0002P-number,45,7,7
08AppleiPhone5VindoorYTpanrot0002P-number,420,7,7
08AppleiPhone5VindoorYTstill0002P-number,420,7,7
08AppleiPhone5Vindoorpanrot0002P-number,420,7,7
08AppleiPhone5Vindoorstill0002P-number,420,7,7
08AppleiPhone5VoutdoorWApanrot0002P-number,45,7,7
08AppleiPhone5VoutdoorWAstill0002P-number,45,7,5
08AppleiPhone5VoutdoorYTpanrot0002P-number,420,7,7
08AppleiPhone5VoutdoorYTstill0002P-number,392,7,5
08AppleiPhone5Voutdoorpanrot0002P-number,420,7,7
08AppleiPhone5Voutdoorstill0002P-number,420,7,5
09HuaweiP8VflatWApanrot0002P-number,45,8,8
09HuaweiP8VflatWAstill0002P-number,45,8,8
09HuaweiP8VflatYTpanrot0002P-number,420,8,8
09HuaweiP8VflatYTstill0002P-number,392,8,8
09HuaweiP8Vflatpanrot0002P-number,420,8,8
09HuaweiP8Vflatstill0002P-number,420,8,8
09HuaweiP8VindoorWApanrot0001P-number,45,8,8
09HuaweiP8VindoorWApanrot0002P-number,45,8,4
09HuaweiP8VindoorYTpanrot0001P-number,420,8,8
09HuaweiP8VindoorYTpanrot0002P-number,420,8,8
09HuaweiP8Vindoorpanrot0001P-number,420,8,8
09HuaweiP8Vindoorpanrot0002P-number,420,8,8
09HuaweiP8VoutdoorWAmove0001P-number,45,8,8
09HuaweiP8VoutdoorWAmove0002P-number,45,8,8
09HuaweiP8VoutdoorYTmove0001P-number,392,8,8
09HuaweiP8VoutdoorYTmove0002P-number,420,8,8
09HuaweiP8Voutdoormove0001P-number,420,8,8
09HuaweiP8Voutdoormove0002P-number,419,8,8
10SamsungGalaxyS4MiniVflatWApanrot0002P-number,45,9,9
10SamsungGalaxyS4MiniVflatWAstill0001P-number,45,9,9
10SamsungGalaxyS4MiniVflatYTpanrot0002P-number,420,9,9
10SamsungGalaxyS4MiniVflatYTstill0001P-number,420,9,9
10SamsungGalaxyS4MiniVflatpanrot0002P-number,420,9,9
10SamsungGalaxyS4MiniVflatstill0001P-number,420,9,9
10SamsungGalaxyS4MiniVindoorWAmove0001P-number,45,9,9
10SamsungGalaxyS4MiniVindoorWAmove0002P-number,45,9,8
10SamsungGalaxyS4MiniVindoorYTmove0001P-number,392,9,9
10SamsungGalaxyS4MiniVindoorYTmove0002P-number,420,9,9
10SamsungGalaxyS4MiniVindoormove0001P-number,420,9,9
10SamsungGalaxyS4MiniVindoormove0002P-number,420,9,9
10SamsungGalaxyS4MiniVoutdoorWApanrot0002P-number,45,9,9
10SamsungGalaxyS4MiniVoutdoorWAstill0002P-number,45,9,9
10SamsungGalaxyS4MiniVoutdoorYTpanrot0002P-number,392,9,9
10SamsungGalaxyS4MiniVoutdoorYTstill0002P-number,392,9,9
10SamsungGalaxyS4MiniVoutdoorpanrot0002P-number,420,9,9
